PLAYER,POS.,2014,2015,2016,2017,2018,
Corey Perry,RW,"$8,625,000 ","$8,625,000 ","$8,625,000 ","$8,625,000 ","$8,625,000 ",
Ryan Getzlaf,C,"$8,250,000 ","$8,250,000 ","$8,250,000 ","$8,250,000 ","$8,250,000 ",
Ryan Kesler,C,"$5,000,000 ","$5,000,000 ",UFA,-,-,
Cam Fowler,D,"$4,000,000 ","$4,000,000 ","$4,000,000 ","$4,000,000 ",UFA,
Sheldon Souray,D,"$3,666,667 ",UFA,-,-,-,
Francois Beauchemin,D,"$3,500,000 ",UFA,-,-,-,
Clayton Stoner,D,"$3,250,000 ","$3,250,000 ","$3,250,000 ","$3,250,000 ",UFA,
Andrew Cogliano,C,"$3,000,000 ","$3,000,000 ","$3,000,000 ","$3,000,000 ",UFA,
Rene Bourque,RW,"$2,562,723 ","$3,333,333 ",UFA,-,-,
Eric Brewer,D,"$2,081,612 ",UFA,-,-,-,
Ilya Bryzgalov,G,"$1,919,999 ",UFA,-,-,-,
Nate Thompson,C,"$1,600,000 ","$1,600,000 ","$1,600,000 ",UFA,-,
Kyle Palmieri,C,"$1,466,667 ","$1,466,667 ",RFA,-,-,
Matt Beleskey,LW,"$1,350,000 ",UFA,-,-,-,
Sami Vatanen,D,"$1,262,500 ","$1,262,500 ",RFA,-,-,
Frederik Andersen,G,"$1,150,000 ","$1,150,000 ",RFA,-,-,
Ben Lovejoy,D,"$1,100,000 ","$1,100,000 ",UFA,-,-,
Hampus Lindholm,D,"$894,166 ","$894,167 ",RFA,-,-,
Rickard Rakell,C,"$874,937 ","$894,167 ",RFA,-,-,
Jakob Silfverberg,LW,"$850,500 ",RFA,-,-,-,
Devante Smith-Pelly,RW,"$800,000 ","$800,000 ",RFA,-,-,
Tim Jackman,RW,"$637,500 ",UFA,-,-,-,
Patrick Maroon,LW,"$575,000 ","$2,000,000 ","$2,000,000 ","$2,000,000 ",-,
John Gibson,G,"$509,758 ","$752,500 ",RFA,-,-,
Dany Heatley,RW,"$1,000,000 ",-,-,-,-,2014 Dead Money
Bryan Allen,D,"$809,000 ",-,-,-,-,2014 Dead Money
Jesse Blacker,D,"$12,000 ",-,-,-,-,2014 Dead Money
