PLAYER,POS.,2014,2015,2016,2017,2018,
Mike Smith,G,"$5,666,667 ","$5,666,667 ","$5,666,667 ","$5,666,667 ","$5,666,667 ",
Oliver Ekman-Larsson,D,"$5,500,000 ","$5,500,000 ","$5,500,000 ","$5,500,000 ","$5,500,000 ",
Shane Doan,RW,"$5,300,000 ","$5,300,000 ",UFA,-,-,
Keith Yandle,D,"$5,250,000 ","$5,250,000 ",UFA,-,-,
Martin Erat,RW,"$4,500,000 ",UFA,-,-,-,
Zbynek Michalek,D,"$4,000,000 ",UFA,-,-,-,
Antoine Vermette,C,"$3,750,000 ",UFA,-,-,-,
Sam Gagner,C,"$3,200,000 ","$3,200,000 ",UFA,-,-,
Martin Hanzal,C,"$3,100,000 ","$3,100,000 ","$3,100,000 ",UFA,-,
Mikkel Boedker,RW,"$2,550,000 ",RFA,-,-,-,
Lauri Korpikoski,LW,"$2,500,000 ","$2,500,000 ","$2,500,000 ",UFA,-,
Michael Stone,D,"$1,150,000 ","$1,150,000 ",RFA,-,-,
Brandon Crombeen,RW,"$1,150,000 ",UFA,-,-,-,
Joe Vitale,C,"$1,116,667 ","$1,116,667 ","$1,116,667 ",UFA,-,
Kyle Chipchura,LW,"$875,000 ","$875,000 ",UFA,-,-,
Connor Murphy,D,"$863,333 ","$863,333 ",RFA,-,-,
Tobias Rieder,C,"$800,672 ","$853,333 ",RFA,-,-,
David Moss,RW,"$800,000 ",UFA,-,-,-,
Brandon Gormley,D,"$623,225 ",RFA,-,-,-,
Lucas Lessio,LW,"$485,542 ","$894,000 ",RFA,-,-,
Alexandre Bolduc,C,"$248,387 ",UFA,-,-,-,
Jordan Martinook,LW,"$233,572 ",RFA,-,-,-,
Andrew Campbell,D,"$230,645 ",UFA,-,-,-,
Mike McKenna,G,"$212,903 ",UFA,-,-,-,
Mark Arcobello,C,"$193,548 ",RFA,-,-,-,
Mike Ribeiro,C,"$1,944,444 ","$1,944,444 ","$1,944,444 ","$1,944,444 ","$1,944,444 ",2014 Dead Money
David Schlemko,D,"$504,580 ",-,-,-,-,2014 Dead Money
Brandon McMillan,C,"$426,747 ",-,-,-,-,2014 Dead Money
Devan Dubnyk,G,"$421,505 ",-,-,-,-,2014 Dead Money
David Rundblad,D,"$212,000 ",-,-,-,-,2014 Dead Money
Robert Klinkhammer,LW,"$94,000 ",-,-,-,-,2014 Dead Money
