PLAYER,POS.,AGE,EXP.,CONTRACT TERMS,AVG. SALARY,EXPIRES
Tuukka Rask,G,27,7,"8 yr$56,000,000","$7,000,000 ",2021
Patrice Bergeron,C,29,10,"8 yr$52,000,000","$6,500,000 ",2022
Zdeno Chara,D,37,16,"7 yr$45,500,000","$6,500,000 ",2018
David Krejci,C,28,8,"6 yr$43,500,000","$7,250,000 ",2021
Marc Savard,C,37,16,"7 yr$28,150,000","$4,021,429 ",2017
Loui Eriksson,LW,29,8,"6 yr$25,500,000","$4,250,000 ",2016
Brad Marchand,C,26,5,"4 yr$18,000,000","$4,500,000 ",2017
Milan Lucic,LW,26,7,"3 yr$18,000,000","$6,000,000 ",2016
Dennis Seidenberg,D,33,11,"4 yr$16,000,000","$4,000,000 ",2018
David Krejci,C,28,8,"3 yr$15,750,000","$5,250,000 ",-
Chris Kelly,C,34,10,"4 yr$12,000,000","$3,000,000 ",2016
Gregory Campbell,C,31,10,"3 yr$4,800,000","$1,600,000 ",2015
Dougie Hamilton,D,21,2,"3 yr$4,759,500","$1,586,500 ",2015
Adam McQuaid,D,28,5,"3 yr$4,700,000","$1,566,667 ",2015
Daniel Paille,LW,30,9,"3 yr$3,900,000","$1,300,000 ",2015
Carl Soderberg,LW,29,2,"3 yr$3,025,000","$1,008,333 ",2015
Malcom Subban,G,21,,"3 yr$2,775,000","$925,000 ",2017
David Pastrnak,LW,18,,"3 yr$2,775,000","$925,000 ",2017
Brian Ferlin,RW,22,,"2 yr$1,850,000","$925,000 ",2016
Kevan Miller,D,27,1,"2 yr$1,600,000","$800,000 ",2016
Torey Krug,D,23,3,"1 yr$1,400,000","$1,400,000 ",2015
Reilly Smith,RW,23,3,"1 yr$1,400,000","$1,400,000 ",2015
Matt Bartkowski,D,26,4,"1 yr$1,250,000","$1,250,000 ",2015
Niklas Svedberg,G,25,1,"1 yr$600,000","$600,000 ",2015
Jordan Caron,RW,24,4,"1 yr$600,000","$600,000 ",2015
Craig Cunningham,C,24,1,"1 yr$600,000","$600,000 ",2015
