PLAYER,POS.,2014,2015,2016,2017,2018,
Tuukka Rask,G,"$7,000,000 ","$7,000,000 ","$7,000,000 ","$7,000,000 ","$7,000,000 ",
Zdeno Chara,D,"$6,916,667 ","$6,916,667 ","$6,916,667 ","$4,000,000 ",UFA,
Patrice Bergeron,C,"$6,500,000 ","$6,500,000 ","$6,500,000 ","$6,500,000 ","$6,500,000 ",
Milan Lucic,LW,"$6,000,000 ","$6,000,000 ",UFA,-,-,
David Krejci,C,"$5,250,000 ","$7,250,000 ","$7,250,000 ","$7,250,000 ","$7,250,000 ",
Brad Marchand,C,"$4,500,000 ","$4,500,000 ","$4,500,000 ",UFA,-,
Loui Eriksson,LW,"$4,250,000 ","$4,250,000 ",UFA,-,-,
Marc Savard,C,"$4,027,143 ","$4,027,143 ","$4,027,143 ",UFA,-,
Dennis Seidenberg,D,"$4,000,000 ","$4,000,000 ","$4,000,000 ","$4,000,000 ",UFA,
Chris Kelly,C,"$3,000,000 ","$3,000,000 ",UFA,-,-,
Gregory Campbell,C,"$1,600,000 ",UFA,-,-,-,
Adam McQuaid,D,"$1,566,667 ",UFA,-,-,-,
Reilly Smith,RW,"$1,400,000 ",RFA,-,-,-,
Torey Krug,D,"$1,400,000 ",RFA,-,-,-,
Daniel Paille,LW,"$1,300,000 ",UFA,-,-,-,
Matt Bartkowski,D,"$1,250,000 ",UFA,-,-,-,
Carl Soderberg,LW,"$1,008,333 ",UFA,-,-,-,
Dougie Hamilton,D,"$894,167 ",RFA,-,-,-,
Kevan Miller,D,"$800,000 ","$800,000 ",UFA,-,-,
Niklas Svedberg,G,"$600,000 ",RFA,-,-,-,
David Pastrnak,LW,"$547,043 ","$925,000 ","$925,000 ",RFA,-,
Craig Cunningham,C,"$419,354 ",RFA,-,-,-,
Jordan Caron,RW,"$361,290 ",RFA,-,-,-,
Simon Gagne,LW,"$345,161 ",-,-,-,-,2014 Dead Money
Matt Fraser,LW,"$276,000 ",-,-,-,-,2014 Dead Money
