PLAYER,POS.,2014,2015,2016,2017,2018,
Matt Moulson,LW,"$5,000,000 ","$5,000,000 ","$5,000,000 ","$5,000,000 ","$5,000,000 ",
Tyler Ennis,C,"$4,600,000 ","$4,600,000 ","$4,600,000 ","$4,600,000 ",UFA,
Brian Gionta,RW,"$4,250,000 ","$4,250,000 ","$4,250,000 ",UFA,-,
Cody Hodgson,C,"$4,250,000 ","$4,250,000 ","$4,250,000 ","$4,250,000 ","$4,250,000 ",
Chris Stewart,RW,"$4,150,000 ",UFA,-,-,-,
Andrej Meszaros,D,"$4,125,000 ",UFA,-,-,-,
Josh Gorges,D,"$3,900,000 ","$3,900,000 ","$3,900,000 ","$3,900,000 ",UFA,
Michal Neuvirth,G,"$2,500,000 ",UFA,-,-,-,
Torrey Mitchell,C,"$1,900,000 ",UFA,-,-,-,
Marcus Foligno,LW,"$1,875,000 ","$1,875,000 ",RFA,-,-,
Evander Kane,LW,"$1,693,548 ","$5,250,000 ","$5,250,000 ","$5,250,000 ",UFA,
Mike Weber,D,"$1,666,667 ","$1,666,667 ",UFA,-,-,
Zach Bogosian,D,"$1,658,986 ","$5,142,857 ","$5,142,857 ","$5,142,857 ","$5,142,857 ",
Cody McCormick,C,"$1,500,000 ","$1,500,000 ","$1,500,000 ",UFA,-,
Patrick Kaleta,RW,"$1,250,000 ",UFA,-,-,-,
Rasmus Ristolainen,D,"$925,000 ","$925,000 ",RFA,-,-,
Nikita Zadorov,D,"$925,000 ","$925,000 ","$925,000 ",RFA,-,
Zemgus Girgensons,C,"$894,167 ","$894,167 ",RFA,-,-,
Andre Benoit,D,"$800,000 ",UFA,-,-,-,
Tyson Strachan,D,"$650,000 ",UFA,-,-,-,
Brian Flynn,RW,"$637,500 ",RFA,-,-,-,
Nicolas Deslauriers,LW,"$637,500 ","$637,500 ",RFA,-,-,
Anders Lindback,G,"$576,881 ",UFA,-,-,-,
Johan Larsson,LW,"$328,315 ",RFA,-,-,-,
Matt Ellis,LW,"$242,473 ",UFA,-,-,-,
Tyler Myers,D,"$3,725,807 ",-,-,-,-,2014 Dead Money
Drew Stafford,RW,"$2,709,677 ",-,-,-,-,2014 Dead Money
Jhonas Enroth,G,"$846,775 ",-,-,-,-,2014 Dead Money
Nathan Gerbe,LW,"$308,333 ",-,-,-,-,2014 Dead Money
Joel Armia,RW,"$4,807 ",-,-,-,-,2014 Dead Money
