PLAYER,POS.,2014,2015,2016,2017,2018,
Dennis Wideman,D,"$5,250,000 ","$5,250,000 ","$5,250,000 ",UFA,-,
Jonas Hiller,G,"$4,500,000 ","$4,500,000 ",UFA,-,-,
Mark Giordano,D,"$4,020,000 ","$4,020,000 ",UFA,-,-,
Jiri Hudler,C,"$4,000,000 ","$4,000,000 ",UFA,-,-,
David Jones,RW,"$4,000,000 ","$4,000,000 ",UFA,-,-,
Ladislav Smid,D,"$3,500,000 ","$3,500,000 ","$3,500,000 ",UFA,-,
Mason Raymond,LW,"$3,150,000 ","$3,150,000 ","$3,150,000 ",UFA,-,
Matt Stajan,C,"$3,125,000 ","$3,125,000 ","$3,125,000 ","$3,125,000 ",UFA,
Deryk Engelland,D,"$2,916,667 ","$2,916,667 ","$2,916,667 ",UFA,-,
Karri Ramo,G,"$2,750,000 ",UFA,-,-,-,
Kris Russell,D,"$2,600,000 ","$2,600,000 ",UFA,-,-,
Curtis Glencross,LW,"$2,550,000 ",UFA,-,-,-,
T.J. Brodie,D,"$2,125,000 ","$4,650,000 ","$4,650,000 ","$4,650,000 ","$4,650,000 ",
Mikael Backlund,C,"$1,500,000 ",RFA,-,-,-,
Joe Colborne,C,"$1,275,000 ","$1,275,000 ",RFA,-,-,
Brandon Bollig,LW,"$1,250,000 ","$1,250,000 ","$1,250,000 ",UFA,-,
Johnny Gaudreau,LW,"$925,000 ","$925,000 ",RFA,-,-,
Sean Monahan,C,"$925,000 ","$925,000 ",RFA,-,-,
Josh Jooris,LW,"$885,215 ",RFA,-,-,-,
Lance Bouma,C,"$775,000 ",RFA,-,-,-,
Raphael Diaz,D,"$700,000 ",UFA,-,-,-,
Paul Byron,C,"$600,000 ",RFA,-,-,-,
Corey Potter,D,"$410,215 ",UFA,-,-,-,
David Wolf,LW,"$377,956 ",RFA,-,-,-,
Corban Knight,C,"$221,774 ",-,-,-,-,2014 Dead Money
