PLAYER,POS.,2014,2015,2016,2017,2018,
Eric Staal,C,"$8,250,000 ","$8,250,000 ",UFA,-,-,
Alexander Semin,RW,"$7,000,000 ","$7,000,000 ","$7,000,000 ","$7,000,000 ",UFA,
Cam Ward,G,"$6,300,000 ","$6,300,000 ",UFA,-,-,
Jordan Staal,C,"$6,000,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ",
Jeff Skinner,LW,"$5,725,000 ","$5,725,000 ","$5,725,000 ","$5,725,000 ","$5,725,000 ",
Justin Faulk,D,"$4,833,333 ","$4,833,333 ","$4,833,333 ","$4,833,333 ","$4,833,333 ",
John-Michael Liles,D,"$3,875,000 ","$3,875,000 ",UFA,-,-,
Jiri Tlusty,LW,"$2,950,000 ",UFA,-,-,-,
Ron Hainsey,D,"$2,833,333 ","$2,833,333 ","$2,833,333 ",UFA,-,
Andrej Sekera,D,"$2,750,000 ",UFA,-,-,-,
Anton Khudobin,G,"$2,250,000 ","$2,250,000 ",UFA,-,-,
Nathan Gerbe,LW,"$1,750,000 ","$1,750,000 ",UFA,-,-,
Tim Gleason,D,"$1,200,000 ",UFA,-,-,-,
Jay McClement,C,"$1,000,000 ",UFA,-,-,-,
Elias Lindholm,C,"$925,000 ","$925,000 ",RFA,-,-,
Pat Dwyer,RW,"$900,000 ",UFA,-,-,-,
Brendan Woods,LW,"$725,000 ",-,RFA,-,-,
Victor Rask,C,"$680,833 ","$680,833 ",RFA,-,-,
Brad Malone,C,"$650,000 ","$650,000 ",UFA,-,-,
Chris Terry,LW,"$600,000 ",RFA,-,-,-,
Brett Bellemore,D,"$600,000 ",UFA,-,-,-,
Riley Nash,C,"$575,000 ",RFA,-,-,-,
Ryan Murphy,D,"$522,096 ","$830,000 ",RFA,-,-,
Andrez Nestrasil,C,"$422,850 ",RFA,-,-,-,
Michal Jordan,D,"$304,569 ",RFA,-,-,-,
Tuomo Ruutu,LW,"$950,000 ","$950,000 ",-,-,-,2014 Dead Money
Jay Harrison,D,"$572,580 ",-,-,-,-,2014 Dead Money
