PLAYER,POS.,AGE,EXP.,CONTRACT TERMS,AVG. SALARY,EXPIRES
Jonathan Toews,C,26,7,"8 yr$84,000,000","$10,500,000 ",2023
Patrick Kane,RW,26,7,"8 yr$84,000,000","$10,500,000 ",2023
Duncan Keith,D,31,9,"13 yr$72,000,000","$5,538,462 ",2023
Marian Hossa,RW,36,16,"12 yr$63,300,000","$5,275,000 ",2021
Corey Crawford,G,30,7,"6 yr$36,000,000","$6,000,000 ",2020
Patrick Kane,RW,26,7,"5 yr$31,500,000","$6,300,000 ",-
Jonathan Toews,C,26,7,"5 yr$31,500,000","$6,300,000 ",-
Patrick Sharp,LW,33,11,"5 yr$29,500,000","$5,900,000 ",2017
Brent Seabrook,D,29,9,"5 yr$29,000,000","$5,800,000 ",2016
Niklas Hjalmarsson,D,27,7,"5 yr$20,500,000","$4,100,000 ",2019
Kris Versteeg,LW,28,7,"4 yr$17,600,000","$4,400,000 ",2016
Bryan Bickell,LW,28,7,"4 yr$16,000,000","$4,000,000 ",2017
John Oduya,D,33,8,"3 yr$10,125,000","$3,375,000 ",2015
Michal Rozsival,D,36,13,"2 yr$4,400,000","$2,200,000 ",2015
Andrew Shaw,C,23,3,"2 yr$4,000,000","$2,000,000 ",2016
Ben Smith,RW,26,4,"2 yr$3,000,000","$1,500,000 ",2016
Ryan Hartman,RW,20,,"3 yr$2,775,000","$925,000 ",2017
Marcus Kruger,C,24,4,"2 yr$2,625,000","$1,312,500 ",2015
Brandon Saad,LW,22,3,"3 yr$2,385,000","$795,000 ",2015
Brad Richards,C,34,13,"1 yr$2,000,000","$2,000,000 ",2015
Trevor Van Riemsdyk,D,23,,"2 yr$1,850,000","$925,000 ",2016
David Rundblad,D,24,3,"2 yr$1,570,000","$785,000 ",2015
Antti Raanta,G,25,1,"2 yr$1,500,000","$750,000 ",2016
Kyle Cumiskey,D,28,5,"1 yr$600,000","$600,000 ",2015
Tim Erixon,D,24,3,"1 yr$600,000","$600,000 ",2015
Daniel Carcillo,LW,30,8,"1 yr$550,000","$550,000 ",2015
