PLAYER,POS.,2014,2015,2016,2017,2018,
Jonathan Toews,C,"$6,300,000 ","$10,500,000 ","$10,500,000 ","$10,500,000 ","$10,500,000 ",
Patrick Kane,RW,"$6,300,000 ","$10,500,000 ","$10,500,000 ","$10,500,000 ","$10,500,000 ",
Corey Crawford,G,"$6,000,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ",
Patrick Sharp,LW,"$5,900,000 ","$5,900,000 ","$5,900,000 ",UFA,-,
Brent Seabrook,D,"$5,800,000 ","$5,800,000 ",UFA,-,-,
Duncan Keith,D,"$5,538,462 ","$5,538,462 ","$5,538,462 ","$5,538,462 ","$5,538,462 ",
Marian Hossa,RW,"$5,275,000 ","$5,275,000 ","$5,275,000 ","$5,275,000 ","$5,275,000 ",
Niklas Hjalmarsson,D,"$4,100,000 ","$4,100,000 ","$4,100,000 ","$4,100,000 ","$4,100,000 ",
Bryan Bickell,LW,"$4,000,000 ","$4,000,000 ","$4,000,000 ",UFA,-,
John Oduya,D,"$3,375,000 ",UFA,-,-,-,
Kris Versteeg,LW,"$2,200,000 ","$2,200,000 ",UFA,-,-,
Michal Rozsival,D,"$2,200,000 ",UFA,-,-,-,
Andrew Shaw,C,"$2,000,000 ","$2,000,000 ",RFA,-,-,
Brad Richards,C,"$2,000,000 ",UFA,-,-,-,
Ben Smith,RW,"$1,500,000 ","$1,500,000 ",UFA,-,-,
Marcus Kruger,C,"$1,325,000 ",RFA,-,-,-,
Trevor Van Riemsdyk,D,"$925,000 ","$925,000 ",RFA,-,-,
Brandon Saad,LW,"$894,167 ",RFA,-,-,-,
Ryan Hartman,RW,"$894,167 ","$894,167 ","$894,167 ",RFA,-,
Antti Raanta,G,"$745,967 ","$750,000 ",UFA,-,-,
Kyle Cumiskey,D,"$600,000 ",UFA,-,-,-,
David Rundblad,D,"$573,000 ",RFA,-,-,-,
Daniel Carcillo,LW,"$550,000 ",UFA,-,-,-,
Tim Erixon,D,"$383,870 ",RFA,-,-,-,
Anders Nilsson,G,-,-,-,-,-,
Jeremey Morin,RW,"$281,172 ",-,-,-,-,2014 Dead Money
