PLAYER,POS.,AGE,EXP.,CONTRACT TERMS,AVG. SALARY,EXPIRES
Gabriel Landeskog,LW,22,3,"7 yr$39,000,000","$5,571,429 ",2021
Matt Duchene,C,24,5,"5 yr$30,000,000","$6,000,000 ",2019
Semyon Varlamov,G,26,6,"5 yr$29,500,000","$5,900,000 ",2019
Alex Tanguay,LW,35,14,"5 yr$17,500,000","$3,500,000 ",2016
Jarome Iginla,RW,37,17,"3 yr$16,000,000","$5,333,333 ",2017
Erik Johnson,D,26,6,"4 yr$15,000,000","$3,750,000 ",2016
Jan Hejda,D,36,8,"4 yr$13,000,000","$3,250,000 ",2015
Ryan O'Reilly,C,24,5,"2 yr$12,000,000","$6,000,000 ",2016
Nathan MacKinnon,C,19,1,"3 yr$11,602,500","$3,867,500 ",2016
Brad Stuart,D,35,14,"3 yr$10,800,000","$3,600,000 ",-
Maxime Talbot,C,31,9,"5 yr$8,750,000","$1,750,000 ",2016
Daniel Briere,C,37,16,"2 yr$8,000,000","$4,000,000 ",2015
Brad Stuart,D,35,14,"2 yr$7,200,000","$3,600,000 ",2017
Ryan Wilson,D,28,5,"3 yr$6,750,000","$2,250,000 ",2015
Jamie McGinn,LW,26,6,"2 yr$5,900,000","$2,950,000 ",2016
John Mitchell,C,30,6,"3 yr$5,400,000","$1,800,000 ",2017
Tyson Barrie,D,23,3,"2 yr$5,200,000","$2,600,000 ",2016
Nick Holden,D,27,3,"3 yr$4,950,000","$1,650,000 ",2018
Reto Berra,G,28,1,"3 yr$4,350,000","$1,450,000 ",2017
Cody McLeod,LW,30,7,"3 yr$4,000,000","$1,333,333 ",2018
Cody McLeod,LW,30,7,"3 yr$3,450,000","$1,150,000 ",-
Patrick Bordeleau,LW,28,2,"3 yr$3,000,000","$1,000,000 ",2016
Calvin Pickard,G,22,,"3 yr$2,700,000","$900,000 ",2015
Jesse Winchester,C,31,5,"2 yr$1,800,000","$900,000 ",2016
Nate Guenin,D,32,7,"2 yr$1,600,000","$800,000 ",2016
Zach Redmond,D,26,2,"2 yr$1,500,000","$750,000 ",2016
Marc-Andre Cliche,C,27,2,"2 yr$1,400,000","$700,000 ",2016
Borna Rendulic,RW,22,,"2 yr$1,245,000","$622,500 ",2016
Dennis Everberg,RW,23,,"2 yr$1,225,000","$612,500 ",2016
Nick Holden,D,27,3,"2 yr$1,200,000","$600,000 ",-
Stefan Elliott,D,24,3,"1 yr$850,000","$850,000 ",2015
Paul Carey,C,26,1,"1 yr$715,000","$715,000 ",2015
