PLAYER,POS.,2014,2015,2016,2017,2018,
Matt Duchene,C,"$6,000,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ",
Ryan O'Reilly,C,"$6,000,000 ","$6,000,000 ",UFA,-,-,
Semyon Varlamav,G,"$5,900,000 ","$5,900,000 ","$5,900,000 ","$5,900,000 ","$5,900,000 ",
Gabriel Landeskog,LW,"$5,571,429 ","$5,571,429 ","$5,571,429 ","$5,571,429 ","$5,571,429 ",
Jarome Iginla,RW,"$5,333,333 ","$5,333,333 ","$5,333,333 ",UFA,-,
Daniel Briere,C,"$4,000,000 ",UFA,-,-,-,
Erik Johnson,D,"$3,750,000 ","$3,750,000 ",UFA,-,-,
Brad Stuart,D,"$3,600,000 ","$3,600,000 ","$3,600,000 ",-,-,
Alex Tanguay,LW,"$3,500,000 ","$3,500,000 ",UFA,-,-,
Jan Hejda,D,"$3,250,000 ",UFA,-,-,-,
Jamie McGinn,LW,"$2,950,000 ","$2,950,000 ",UFA,-,-,
Tyson Barrie,D,"$2,600,000 ","$2,600,000 ",RFA,-,-,
Ryan Wilson,D,"$2,250,000 ",UFA,-,-,-,
John Mitchell,C,"$1,800,000 ","$1,800,000 ","$1,800,000 ",UFA,-,
Maxime Talbot,C,"$1,750,000 ","$1,750,000 ",UFA,-,-,
Reto Berra,G,"$1,450,000 ","$1,450,000 ","$1,450,000 ",UFA,-,
Cody McLeod,LW,"$1,150,000 ","$1,333,333 ","$1,333,333 ","$1,333,333 ",-,
Patrick Bordeleau,LW,"$1,000,000 ","$1,000,000 ",UFA,-,-,
Nathan MacKinnon,C,"$925,000 ","$925,000 ",RFA,-,-,
Jesse Winchester,C,"$900,000 ","$900,000 ",UFA,-,-,
Nate Guenin,D,"$800,000 ","$800,000 ",UFA,-,-,
Zach Redmond,D,"$750,000 ","$750,000 ",UFA,-,-,
Marc-Andre Cliche,C,"$700,000 ","$700,000 ",UFA,-,-,
Calvin Pickard,G,"$622,096 ",RFA,-,-,-,
Nick Holden,D,"$600,000 ","$1,650,000 ","$1,650,000 ","$1,650,000 ",-,
Borna Rendulic,RW,"$368,145 ","$622,500 ",RFA,-,-,
Stefan Elliott,D,"$338,172 ",RFA,-,-,-,
Dennis Everberg,RW,"$286,491 ","$500,537 ",RFA,-,-,
Paul Carey,C,"$257,553 ",RFA,-,-,-,
Greg Zanon,D,"$750,000 ",-,-,-,-,2014 Dead Money
