PLAYER,POS.,AGE,EXP.,CONTRACT TERMS,AVG. SALARY,EXPIRES
Nathan Horton,RW,29,10,"7 yr$37,100,000","$5,300,000 ",2020
Brandon Dubinsky,C,28,8,"6 yr$35,100,000","$5,850,000 ",2021
James Wisniewski,D,31,9,"6 yr$33,000,000","$5,500,000 ",2017
Nick Foligno,LW,27,7,"6 yr$33,000,000","$5,500,000 ",2021
Jack Johnson,D,28,8,"7 yr$30,500,000","$4,357,143 ",2018
Sergei Bobrovsky,G,26,4,"4 yr$29,700,000","$7,425,000 ",2019
Scott Hartnell,LW,32,13,"6 yr$28,500,000","$4,750,000 ",2019
Fedor Tyutin,D,31,10,"6 yr$27,000,000","$4,500,000 ",2018
Brandon Dubinsky,C,28,8,"4 yr$16,800,000","$4,200,000 ",-
Ryan Murray,D,21,1,"3 yr$13,442,500","$4,480,833 ",2016
Ryan Johansen,C,22,3,"3 yr$12,000,000","$4,000,000 ",2017
Sergei Bobrovsky,G,26,4,"2 yr$11,250,000","$5,625,000 ",-
Artem Anisimov,C,26,6,"3 yr$9,850,000","$3,283,333 ",2016
Nick Foligno,LW,27,7,"3 yr$9,250,000","$3,083,333 ",2015
Jared Boll,RW,28,7,"3 yr$5,100,000","$1,700,000 ",2017
Jordan Leopold,D,34,11,"2 yr$4,500,000","$2,250,000 ",2015
Alexander Wennberg,C,20,,"3 yr$4,477,500","$1,492,500 ",2017
Boone Jenner,C,21,1,"3 yr$2,960,000","$986,667 ",2016
Marko Dano,C,20,,"3 yr$2,775,000","$925,000 ",2017
David Savard,D,24,,"2 yr$2,600,000","$1,300,000 ",2016
Mark Letestu,C,30,5,"2 yr$2,500,000","$1,250,000 ",2015
Anton Forsberg,G,22,,"3 yr$2,310,000","$770,000 ",2016
Cameron Atkinson,RW,25,3,"2 yr$2,300,000","$1,150,000 ",2015
Dalton Prout,D,24,3,"2 yr$2,150,000","$1,075,000 ",2016
Kevin Connauton,D,24,1,"3 yr$2,050,000","$683,333 ",2016
Matt Calvert,LW,25,4,"2 yr$1,975,000","$987,500 ",2015
Jeremey Morin,RW,23,4,"2 yr$1,600,000","$800,000 ",2016
Corey Tropp,RW,25,2,"2 yr$1,250,000","$625,000 ",2016
Jack Skille,RW,28,7,"1 yr$750,000","$750,000 ",2015
Curtis McElhinney,G,31,6,"1 yr$650,000","$650,000 ",2015
Cody Goloubef,D,25,1,"1 yr$625,000","$625,000 ",2015
