PLAYER,POS.,2014,2015,2016,2017,2018,
Sergei Bobrovsky,G,"$5,625,000 ","$7,425,000 ","$7,425,000 ","$7,425,000 ","$7,425,000 ",
James Wisniewski,D,"$5,500,000 ","$5,500,000 ","$5,500,000 ",UFA,-,
Nathan Horton,RW,"$5,300,000 ","$5,300,000 ","$5,300,000 ","$5,300,000 ","$5,300,000 ",
Scott Hartnell,LW,"$4,750,000 ","$4,750,000 ","$4,750,000 ","$4,750,000 ","$4,750,000 ",
Fedor Tyutin,D,"$4,500,000 ","$4,500,000 ","$4,500,000 ","$4,500,000 ",UFA,
Jack Johnson,D,"$4,357,143 ","$4,357,143 ","$4,357,143 ","$4,357,143 ",UFA,
Brandon Dubinsky,C,"$4,200,000 ","$5,850,000 ","$5,850,000 ","$5,850,000 ","$5,850,000 ",
Ryan Johansen,C,"$4,000,000 ","$4,000,000 ","$4,000,000 ",RFA,-,
Artem Anisimov,C,"$3,283,333 ","$3,283,333 ",UFA,-,-,
Nick Foligno,LW,"$3,083,333 ",UFA,"$5,500,000 ","$5,500,000 ","$5,500,000 ",
Jared Boll,RW,"$1,700,000 ","$1,700,000 ","$1,700,000 ",UFA,-,
Jordan Leopold,D,"$1,329,473 ",UFA,-,-,-,
David Savard,D,"$1,300,000 ","$1,300,000 ",RFA,-,-,
Mark Letestu,C,"$1,250,000 ",UFA,-,-,-,
Cameron Atkinson,RW,"$1,150,000 ",RFA,-,-,-,
Dalton Prout,D,"$1,075,000 ","$1,075,000 ",RFA,-,-,
Matt Calvert,LW,"$987,500 ",RFA,-,-,-,
Alexander Wennberg,C,"$925,000 ","$925,000 ","$925,000 ",RFA,-,
Ryan Murray,D,"$894,167 ","$894,167 ",RFA,-,-,
Boone Jenner,C,"$778,333 ","$778,333 ",RFA,-,-,
Jack Skille,RW,"$750,000 ",UFA,-,-,-,
Brian Gibbons,C,"$689,516 ",UFA,-,-,-,
Curtis McElhinney,G,"$650,000 ",UFA,-,-,-,
Corey Tropp,RW,"$625,000 ","$625,000 ",RFA,-,-,
Cody Goloubef,D,"$625,000 ",RFA,-,-,-,
Kevin Connauton,D,"$532,705 ","$683,333 ",RFA,-,-,
Jeremey Morin,RW,"$511,827 ","$800,000 ",RFA,-,-,
Anton Forsberg,G,"$355,672 ","$655,000 ",RFA,-,-,
Mike Commodore,D,"$1,141,666 ",-,-,-,-,2014 Dead Money
Tim Erixon,D,"$216,129 ",-,-,-,-,2014 Dead Money
