PLAYER,POS.,AGE,EXP.,CONTRACT TERMS,AVG. SALARY,EXPIRES
Jason Spezza,C,31,11,"7 yr$49,000,000","$7,000,000 ",-
Tyler Seguin,C,23,4,"6 yr$34,500,000","$5,750,000 ",2019
Shawn Horcoff,C,36,13,"6 yr$33,000,000","$5,500,000 ",2015
Jason Spezza,C,31,11,"4 yr$30,000,000","$7,500,000 ",2019
Kari Lehtonen,G,31,10,"5 yr$29,500,000","$5,900,000 ",2018
Jamie Benn,LW,25,5,"5 yr$26,250,000","$5,250,000 ",2017
Trevor Daley,D,31,10,"6 yr$19,800,000","$3,300,000 ",2017
Alex Goligoski,D,29,7,"4 yr$18,400,000","$4,600,000 ",2016
Erik Cole,LW,36,12,"4 yr$18,000,000","$4,500,000 ",2015
Ales Hemsky,RW,31,11,"3 yr$12,000,000","$4,000,000 ",2017
Rich Peverley,C,32,7,"3 yr$9,750,000","$3,250,000 ",2015
Antoine Roussel,LW,25,2,"4 yr$8,000,000","$2,000,000 ",2018
Travis Moen,LW,32,10,"4 yr$7,400,000","$1,850,000 ",2016
Jason Demers,D,26,5,"2 yr$6,800,000","$3,400,000 ",2016
Valeri Nichushkin,RW,19,1,"3 yr$6,652,500","$2,217,500 ",2016
Ryan Garbutt,LW,29,3,"3 yr$5,400,000","$1,800,000 ",2017
Cody Eakin,C,23,3,"2 yr$3,800,000","$1,900,000 ",2016
Patrik Nemeth,D,23,1,"3 yr$2,700,000","$900,000 ",2015
Brett Ritchie,RW,21,,"3 yr$2,682,501","$894,167 ",2015
John Klingberg,D,22,,"3 yr$2,610,000","$870,000 ",2015
Jhonas Enroth,G,26,5,"2 yr$2,500,000","$1,250,000 ",2015
Vernon Fiddler,C,34,11,"2 yr$2,500,000","$1,250,000 ",2016
David Schlemko,D,27,6,"2 yr$2,375,000","$1,187,500 ",2015
Jyrki Jokipakka,D,23,,"3 yr$2,250,000","$750,000 ",2015
Jordie Benn,D,27,3,"3 yr$2,100,000","$700,000 ",2016
Colton Sceviour,C,25,3,"2 yr$1,300,000","$650,000 ",2016
Curtis McKenzie,LW,24,,"2 yr$1,290,000","$645,000 ",2015
Brendan Ranford,LW,22,,"2 yr$1,220,000","$610,000 ",2017
Patrick Eaves,RW,30,9,"1 yr$650,000","$650,000 ",2015
