PLAYER,POS.,AGE,EXP.,CONTRACT TERMS,AVG. SALARY,EXPIRES
Henrik Zetterberg,LW,34,11,"12 yr$73,000,000","$6,083,333 ",2021
Johan Franzen,RW,35,9,"11 yr$43,500,000","$3,954,545 ",2020
Niklas Kronwall,D,34,10,"7 yr$33,250,000","$4,750,000 ",2019
Jimmy Howard,G,30,8,"6 yr$31,750,000","$5,291,667 ",2019
Jonathan Ericsson,D,30,7,"6 yr$25,500,000","$4,250,000 ",2020
Stephen Weiss,C,31,12,"5 yr$24,500,000","$4,900,000 ",2018
Pavel Datsyuk,C,36,12,"3 yr$22,500,000","$7,500,000 ",2017
Jakub Kindl,D,28,5,"4 yr$9,600,000","$2,400,000 ",2017
Darren Helm,C,28,7,"4 yr$8,500,000","$2,125,000 ",2016
Kyle Quincey,D,29,9,"2 yr$8,500,000","$4,250,000 ",2016
Tomas Tatar,LW,24,3,"3 yr$8,250,000","$2,750,000 ",2017
Justin Abdelkader,LW,27,7,"4 yr$7,200,000","$1,800,000 ",2016
Danny DeKeyser,D,24,2,"2 yr$4,375,000","$2,187,500 ",2016
Drew Miller,LW,31,7,"3 yr$4,050,000","$1,350,000 ",2016
Tomas Jurco,RW,16,1,"3 yr$2,775,000","$925,000 ",2015
Brendan Smith,D,26,3,"2 yr$2,525,000","$1,262,500 ",2015
Dan Cleary,RW,27,16,"1 yr$2,500,000","$2,500,000 ",2015
Teemu Pulkkinen,RW,23,1,"3 yr$2,095,000","$698,333 ",2015
Alexei Marchenko,D,23,1,"3 yr$2,000,000","$666,667 ",2016
Gustav Nyquist,RW,25,3,"2 yr$1,900,000","$950,000 ",2015
Riley Sheahan,C,23,3,"2 yr$1,900,000","$950,000 ",2016
Luke Glendening,C,25,1,"3 yr$1,885,000","$628,333 ",2017
Jonas Gustavsson,G,30,5,"1 yr$1,850,000","$1,850,000 ",2015
Joakim Andersson,C,26,3,"2 yr$1,465,000","$732,500 ",2015
