PLAYER,POS.,2014,2015,2016,2017,2018,
Pavel Datsyuk,C,"$7,500,000 ","$7,500,000 ","$7,500,000 ",UFA,-,
Henrik Zetterberg,LW,"$6,083,333 ","$6,083,333 ","$6,083,333 ","$6,083,333 ","$6,083,333 ",
Jimmy Howard,G,"$5,291,667 ","$5,291,667 ","$5,291,667 ","$5,291,667 ","$5,291,667 ",
Stephen Weiss,C,"$4,900,000 ","$4,900,000 ","$4,900,000 ","$4,900,000 ",UFA,
Niklas Kronwall,D,"$4,750,000 ","$4,750,000 ","$4,750,000 ","$4,750,000 ","$4,750,000 ",
Jonathan Ericsson,D,"$4,250,000 ","$4,250,000 ","$4,250,000 ","$4,250,000 ","$4,250,000 ",
Kyle Quincey,D,"$4,250,000 ","$4,250,000 ",UFA,-,-,
Johan Franzen,RW,"$3,954,545 ","$3,954,545 ","$3,954,545 ","$3,954,545 ","$3,954,545 ",
Tomas Tatar,LW,"$2,750,000 ","$2,750,000 ","$2,750,000 ",RFA,-,
Jakub Kindl,D,"$2,400,000 ","$2,400,000 ","$2,400,000 ",UFA,-,
Danny DeKeyser,D,"$2,187,500 ","$2,187,500 ",RFA,-,-,
Darren Helm,C,"$2,125,000 ","$2,125,000 ",UFA,-,-,
Jonas Gustavsson,G,"$1,850,000 ",UFA,-,-,-,
Justin Abdelkader,LW,"$1,800,000 ","$1,800,000 ",UFA,-,-,
Dan Cleary,RW,"$1,500,000 ",UFA,-,-,-,
Drew Miller,LW,"$1,350,000 ","$1,350,000 ",UFA,-,-,
Brendan Smith,D,"$1,262,500 ",RFA,-,-,-,
Gustav Nyquist,RW,"$950,000 ",RFA,-,-,-,
Riley Sheahan,C,"$950,000 ","$950,000 ",RFA,-,-,
Joakim Andersson,C,"$732,500 ",RFA,-,-,-,
Tomas Jurco,RW,"$709,167 ",RFA,-,-,-,
Luke Glendening,C,"$628,333 ","$628,333 ","$628,333 ",UFA,-,
Alexei Marchenko,D,"$258,064 ","$666,667 ",RFA,-,-,
Teemu Pulkkinen,RW,"$251,550 ",RFA,-,-,-,
Andrez Nestrasil,C,"$127,150 ",-,-,-,-,2014 Dead Money
