PLAYER,POS.,AGE,EXP.,CONTRACT TERMS,AVG. SALARY,EXPIRES
Taylor Hall,LW,23,4,"7 yr$42,000,000","$6,000,000 ",2020
Ryan Nugent-Hopkins,C,21,13,"7 yr$42,000,000","$6,000,000 ",2021
Jordan Eberle,RW,24,4,"6 yr$36,000,000","$6,000,000 ",2019
Benoit Pouliot,LW,28,8,"5 yr$20,000,000","$4,000,000 ",2019
Mark Fayne,D,27,4,"4 yr$14,500,000","$3,625,000 ",2018
Teddy Purcell,RW,29,7,"3 yr$13,500,000","$4,500,000 ",2016
Andrew Ference,D,35,14,"4 yr$13,000,000","$3,250,000 ",2017
Nail Yakupov,RW,21,2,"3 yr$11,602,500","$3,867,500 ",2015
Boyd Gordon,C,31,10,"3 yr$9,000,000","$3,000,000 ",2016
Nikita Nikitin,D,28,4,"2 yr$9,000,000","$4,500,000 ",2016
Matt Hendricks,LW,33,6,"4 yr$7,400,000","$1,850,000 ",2017
Viktor Fasth,G,32,2,"2 yr$5,800,000","$2,900,000 ",2015
Ben Scrivens,G,28,3,"2 yr$4,600,000","$2,300,000 ",2016
Oscar Klefbom,D,21,1,"3 yr$4,010,000","$1,336,667 ",2016
Justin Schultz,D,24,2,"1 yr$3,675,000","$3,675,000 ",2015
Jeff Petry,D,27,4,"1 yr$3,075,000","$3,075,000 ",2015
Martin Marincin,D,23,1,"3 yr$2,700,000","$900,000 ",2015
Iiro Pakarinen,RW,23,,"2 yr$1,850,000","$925,000 ",2016
Luke Gazdic,LW,25,1,"2 yr$1,600,000","$800,000 ",2016
Robert Klinkhammer,LW,28,4,"2 yr$1,250,000","$625,000 ",-
Ryan Hamilton,LW,29,3,"2 yr$1,200,000","$600,000 ",-
Derek Roy,C,31,10,"1 yr$1,000,000","$1,000,000 ",2015
Keith Aulie,D,25,4,"1 yr$800,000","$800,000 ",2015
Tyler Pitlick,C,23,1,"1 yr$725,000","$725,000 ",2015
Robert Klinkhammer,LW,28,4,"1 yr$725,000","$725,000 ",2016
Matt Fraser,LW,24,3,"1 yr$625,000","$625,000 ",2015
Richard Bachman,G,27,4,"1 yr$615,000","$615,000 ",2015
Anton Lander,C,23,3,"1 yr$600,000","$600,000 ",2015
Ryan Hamilton,LW,29,3,1 yr-,-,2016
