PLAYER,POS.,2014,2015,2016,2017,2018,
Ryan Nugent-Hopkins,C,"$6,000,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ",
Taylor Hall,LW,"$6,000,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ",
Jordan Eberle,RW,"$6,000,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ",
Nikita Nikitin,D,"$4,500,000 ","$4,500,000 ",UFA,-,-,
Teddy Purcell,RW,"$4,500,000 ","$4,500,000 ",UFA,-,-,
Benoit Pouliot,LW,"$4,000,000 ","$4,000,000 ","$4,000,000 ","$4,000,000 ","$4,000,000 ",
Justin Schultz,D,"$3,675,000 ",RFA,-,-,-,
Mark Fayne,D,"$3,625,000 ","$3,625,000 ","$3,625,000 ","$3,625,000 ",UFA,
Andrew Ference,D,"$3,250,000 ","$3,250,000 ","$3,250,000 ",UFA,-,
Jeff Petry,D,"$3,075,000 ",UFA,-,-,-,
Boyd Gordon,C,"$3,000,000 ","$3,000,000 ",UFA,-,-,
Viktor Fasth,G,"$2,900,000 ",UFA,-,-,-,
Ben Scrivens,G,"$2,300,000 ","$2,300,000 ",UFA,-,-,
Matt Hendricks,LW,"$1,850,000 ","$1,850,000 ","$1,850,000 ",UFA,-,
Nail Yakupov,RW,"$925,000 ",RFA,-,-,-,
Oscar Klefbom,D,"$894,167 ","$894,167 ",RFA,-,-,
Luke Gazdic,LW,"$800,000 ","$800,000 ",RFA,-,-,
Keith Aulie,D,"$688,172 ",RFA,-,-,-,
Derek Roy,C,"$559,139 ",UFA,-,-,-,
Tyler Pitlick,C,"$518,483 ",RFA,-,-,-,
Martin Marincin,D,"$435,645 ",RFA,-,-,-,
Matt Fraser,LW,"$349,462 ",RFA,-,-,-,
Iiro Pakarinen,RW,"$342,822 ","$817,500 ",RFA,-,-,
Robert Klinkhammer,LW,"$336,000 ",UFA,-,-,-,
Anton Lander,C,"$335,483 ",RFA,-,-,-,
Richard Bachman,G,"$251,290 ",UFA,-,-,-,
Ryan Hamilton,LW,"$196,774 ",UFA,-,-,-,
David Perron,LW,"$1,762,769 ",-,-,-,-,2014 Dead Money
Jesse Joensuu,LW,"$618,010 ",-,-,-,-,2014 Dead Money
Mark Arcobello,C,"$264,516 ",-,-,-,-,2014 Dead Money
Will Acton,C,"$106,021 ",-,-,-,-,2014 Dead Money
