PLAYER,POS.,AGE,EXP.,CONTRACT TERMS,AVG. SALARY,EXPIRES
Roberto Luongo,G,35,14,"12 yr$64,000,000","$5,333,333 ",2020
Brian Campbell,D,35,14,"8 yr$57,143,000","$7,142,875 ",2016
Dave Bolland,C,28,8,"5 yr$27,500,000","$5,500,000 ",2019
Nick Bjugstad,C,22,2,"6 yr$24,600,000","$4,100,000 ",2021
Tomas Fleischmann,LW,30,9,"4 yr$18,000,000","$4,500,000 ",2015
Jussi Jokinen,LW,31,9,"4 yr$16,000,000","$4,000,000 ",2018
Scottie Upshall,LW,31,11,"4 yr$14,000,000","$3,500,000 ",2015
Dmitry Kulikov,D,24,5,"3 yr$13,000,000","$4,333,333 ",2017
Tomas Kopecky,RW,33,9,"4 yr$12,000,000","$3,000,000 ",2015
Aaron Ekblad,D,19,,"3 yr$11,602,500","$3,867,500 ",2017
Aleksander Barkov,C,19,1,"3 yr$11,002,500","$3,667,500 ",2016
Sean Bergenheim,LW,31,8,"4 yr$11,000,000","$2,750,000 ",2015
Jonathan Huberdeau,LW,21,2,"3 yr$9,860,000","$3,286,667 ",2015
Willie Mitchell,D,37,13,"2 yr$8,500,000","$4,250,000 ",2016
Brad Boyes,RW,32,10,"2 yr$5,250,000","$2,625,000 ",2016
Erik Gudbranson,D,23,3,"2 yr$5,000,000","$2,500,000 ",2016
Derek MacKenzie,C,33,11,"3 yr$3,900,000","$1,300,000 ",2017
Nick Bjugstad,C,22,2,"3 yr$3,570,000","$1,190,000 ",-
Alex Petrovic,D,22,2,"3 yr$2,475,000","$825,000 ",2015
Shawn Thornton,LW,37,11,"2 yr$2,400,000","$1,200,000 ",2016
Al Montoya,G,30,5,"2 yr$2,100,000","$1,050,000 ",2016
Brandon Pirri,C,23,4,"2 yr$1,850,000","$925,000 ",2016
Dylan Olsen,D,24,2,"2 yr$1,550,000","$775,000 ",2016
Jimmy Hayes,RW,25,3,"1 yr$925,000","$925,000 ",2015
Steven Kampfer,D,26,2,"1 yr$550,000","$550,000 ",2015
