PLAYER,POS.,2014,2015,2016,2017,2018,
Brian Campbell,D,"$7,142,875 ","$7,142,875 ",UFA,-,-,
Dave Bolland,C,"$5,500,000 ","$5,500,000 ","$5,500,000 ","$5,500,000 ","$5,500,000 ",
Roberto Luongo,G,"$4,533,333 ","$4,533,333 ","$4,533,333 ","$4,533,333 ","$4,533,333 ",
Tomas Fleischmann,LW,"$4,500,000 ",UFA,-,-,-,
Dmitry Kulikov,D,"$4,333,333 ","$4,333,333 ","$4,333,334 ",UFA,-,
Willie Mitchell,D,"$4,250,000 ","$4,250,000 ",UFA,-,-,
Jussi Jokinen,LW,"$4,000,000 ","$4,000,000 ","$4,000,000 ","$4,000,000 ",UFA,
Scottie Upshall,LW,"$3,500,000 ",UFA,-,-,-,
Tomas Kopecky,RW,"$3,000,000 ",UFA,-,-,-,
Sean Bergenheim,LW,"$2,750,000 ",UFA,-,-,-,
Brad Boyes,RW,"$2,625,000 ","$2,625,000 ",UFA,-,-,
Erik Gudbranson,D,"$2,500,000 ","$2,500,000 ",RFA,-,-,
Derek MacKenzie,C,"$1,300,000 ","$1,300,000 ","$1,300,000 ",UFA,-,
Shawn Thornton,LW,"$1,200,000 ","$1,200,000 ",UFA,-,-,
Al Montoya,G,"$1,050,000 ","$1,050,000 ",UFA,-,-,
Aaron Ekblad,D,"$925,000 ","$925,000 ","$925,000 ",RFA,-,
Jimmy Hayes,RW,"$925,000 ",RFA,-,-,-,
Brandon Pirri,C,"$925,000 ","$925,000 ",RFA,-,-,
Aleksander Barkov,C,"$925,000 ","$925,000 ",RFA,-,-,
Nick Bjugstad,C,"$900,000 ","$4,100,000 ","$4,100,000 ","$4,100,000 ","$4,100,000 ",
Jonathan Huberdeau,LW,"$894,167 ",RFA,-,-,-,
Dylan Olsen,D,"$775,000 ","$775,000 ",RFA,-,-,
Alex Petrovic,D,"$316,290 ",RFA,-,-,-,
Steven Kampfer,D,"$195,161 ",RFA,-,-,-,
Kris Versteeg,LW,"$2,200,000 ","$2,200,000 ",-,-,-,2014 Dead Money
Filip Kuba,D,"$1,400,000 ",-,-,-,-,2014 Dead Money
Filip Kuba,D,"$1,400,000 ",-,-,-,-,2014 Dead Money
Colby Robak,D,"$206,854 ",-,-,-,-,2014 Dead Money
Colby Robak,D,"$206,854 ",-,-,-,-,2014 Dead Money
