PLAYER,POS.,AGE,EXP.,CONTRACT TERMS,AVG. SALARY,EXPIRES
Jeff Carter,C,30,9,"11 yr$58,000,000","$5,272,727 ",2022
Jonathan Quick,G,29,7,"10 yr$58,000,000","$5,800,000 ",2023
Drew Doughty,D,25,6,"8 yr$56,000,000","$7,000,000 ",2019
Anze Kopitar,C,27,8,"7 yr$47,600,000","$6,800,000 ",2016
Dustin Brown,RW,30,10,"8 yr$47,000,000","$5,875,000 ",2022
Marian Gaborik,RW,33,13,"7 yr$34,125,000","$4,875,000 ",2021
Slava Voynov,D,25,3,"6 yr$25,000,000","$4,166,667 ",2019
Alec Martinez,D,27,5,"6 yr$24,000,000","$4,000,000 ",2021
Jacob Muzzin,D,26,3,"5 yr$20,000,000","$4,000,000 ",2020
Justin Williams,RW,33,13,"4 yr$14,600,000","$3,650,000 ",2015
Matt Greene,D,31,9,"4 yr$10,000,000","$2,500,000 ",2018
Jarret Stoll,C,32,11,"3 yr$9,750,000","$3,250,000 ",2015
Robyn Regehr,D,34,14,"2 yr$6,000,000","$3,000,000 ",2015
Dwight King,LW,25,4,"3 yr$5,850,000","$1,950,000 ",2017
Tanner Pearson,LW,22,1,"3 yr$3,052,500","$1,017,500 ",2015
Trevor Lewis,C,28,6,"2 yr$3,050,000","$1,525,000 ",2016
Tyler Toffoli,C,22,2,"3 yr$2,880,000","$960,000 ",2015
Nick Shore,C,22,,"3 yr$2,775,000","$925,000 ",2015
Derek Forbort,D,22,,"3 yr$2,590,000","$863,333 ",2016
Alec Martinez,D,27,5,"2 yr$2,200,000","$1,100,000 ",-
Kyle Clifford,LW,24,4,"2 yr$2,150,000","$1,075,000 ",2015
Jacob Muzzin,D,26,3,"2 yr$2,000,000","$1,000,000 ",-
Jordan Nolan,C,25,3,"2 yr$1,400,000","$700,000 ",2015
Brayden McNabb,D,24,2,"2 yr$1,300,000","$650,000 ",2016
Martin Jones,G,25,1,"2 yr$1,100,000","$550,000 ",2015
Andy Andreoff,LW,23,,"1 yr$550,000","$550,000 ",2015
Jamie McBain,D,26,5,"1 yr$550,000","$550,000 ",2015
