PLAYER,POS.,2014,2015,2016,2017,2018
Drew Doughty,D,"$7,000,000 ","$7,000,000 ","$7,000,000 ","$7,000,000 ","$7,000,000 "
Anze Kopitar,C,"$6,800,000 ","$6,800,000 ",UFA,-,-
Dustin Brown,RW,"$5,875,000 ","$5,875,000 ","$5,875,000 ","$5,875,000 ","$5,875,000 "
Jonathan Quick,G,"$5,800,000 ","$5,800,000 ","$5,800,000 ","$5,800,000 ","$5,800,000 "
Jeff Carter,C,"$5,272,727 ","$5,272,727 ","$5,272,727 ","$5,272,727 ","$5,272,727 "
Marian Gaborik,RW,"$4,875,000 ","$4,875,000 ","$4,875,000 ","$4,875,000 ","$4,875,000 "
Slava Voynov,D,"$4,166,667 ","$4,166,667 ","$4,166,667 ","$4,166,667 ","$4,166,667 "
Justin Williams,RW,"$3,650,000 ",UFA,-,-,-
Jarret Stoll,C,"$3,250,000 ",UFA,-,-,-
Robyn Regehr,D,"$3,000,000 ",UFA,-,-,-
Matt Greene,D,"$2,500,000 ","$2,500,000 ","$2,500,000 ","$2,500,000 ",UFA
Dwight King,LW,"$1,950,000 ","$1,950,000 ","$1,950,000 ",UFA,-
Trevor Lewis,C,"$1,525,000 ","$1,525,000 ",UFA,-,-
Alec Martinez,D,"$1,100,000 ","$4,000,000 ","$4,000,000 ","$4,000,000 ","$4,000,000 "
Kyle Clifford,LW,"$1,075,000 ",RFA,-,-,-
Jacob Muzzin,D,"$1,000,000 ","$4,000,000 ","$4,000,000 ","$4,000,000 ","$4,000,000 "
Tanner Pearson,LW,"$735,833 ",RFA,-,-,-
Tyler Toffoli,C,"$716,666 ",RFA,-,-,-
Jordan Nolan,C,"$700,000 ",RFA,-,-,-
Brayden McNabb,D,"$650,000 ","$650,000 ",RFA,-,-
Martin Jones,G,"$550,000 ",RFA,-,-,-
Andy Andreoff,LW,"$550,000 ",RFA,-,-,-
Jamie McBain,D,"$449,462 ",UFA,-,-,-
Nick Shore,C,"$432,661 ",RFA,-,-,-
Derek Forbort,D,"$278,494 ","$863,333 ",RFA,-,-
