PLAYER,POS.,AGE,EXP.,CONTRACT TERMS,AVG. SALARY,EXPIRES
Zach Parise,LW,30,9,"13 yr$98,000,000","$7,538,462 ",2025
Ryan Suter,D,30,9,"13 yr$98,000,000","$7,538,462 ",2025
Mikko Koivu,C,31,9,"7 yr$47,250,000","$6,750,000 ",2018
Jason Pominville,RW,32,10,"5 yr$28,000,000","$5,600,000 ",2019
Jonas Brodin,D,21,2,"6 yr$25,000,000","$4,166,667 ",2021
Marco Scandella,D,25,4,"5 yr$20,000,000","$4,000,000 ",2020
Thomas Vanek,LW,31,9,"3 yr$19,500,000","$6,500,000 ",2017
Charlie Coyle,C,22,2,"5 yr$16,000,000","$3,200,000 ",2020
Niklas Backstrom,G,37,8,"3 yr$10,250,000","$3,416,667 ",2016
Kyle Brodziak,C,31,9,"3 yr$8,490,000","$2,830,000 ",2015
Jared Spurgeon,D,25,4,"3 yr$8,000,000","$2,666,667 ",2016
Nino Niederreiter,RW,22,3,"3 yr$8,000,000","$2,666,667 ",2017
Matt Cooke,LW,36,15,"3 yr$7,500,000","$2,500,000 ",2016
Mikael Granlund,C,22,2,"3 yr$6,570,000","$2,190,000 ",2015
Jonas Brodin,D,21,2,"3 yr$4,610,000","$1,536,667 ",-
Erik Haula,C,23,1,"2 yr$3,680,000","$1,840,000 ",2015
Charlie Coyle,C,22,2,"3 yr$3,195,000","$1,065,000 ",-
Keith Ballard,D,32,9,"2 yr$3,000,000","$1,500,000 ",2015
Christian Folin,D,24,,"2 yr$2,960,000","$1,480,000 ",2015
Mathew Dumba,D,20,1,"3 yr$2,775,000","$925,000 ",2016
Darcy Kuemper,G,24,2,"2 yr$2,500,000","$1,250,000 ",2016
Marco Scandella,D,25,4,"2 yr$2,050,000","$1,025,000 ",-
Justin Fontaine,LW,27,1,"2 yr$2,000,000","$1,000,000 ",2016
Jason Zucker,LW,23,3,"2 yr$1,800,500","$900,250 ",2016
Jordan Schroeder,C,24,2,"2 yr$1,200,000","$600,000 ",2016
Stephane Veilleux,LW,33,9,"2 yr$1,175,000","$587,500 ",2015
Michael Keranen,LW,25,,"1 yr$925,000","$925,000 ",2015
Devan Dubnyk,G,28,5,"1 yr$800,000","$800,000 ",2015
Ryan Carter,C,31,7,"1 yr$725,000","$725,000 ",2015
Nate Prosser,D,28,5,"1 yr$700,000","$700,000 ",2015
John Curry,G,30,3,"1 yr$575,000","$575,000 ",2015
