PLAYER,POS.,2014,2015,2016,2017,2018,
Ryan Suter,D,"$7,538,462 ","$7,538,462 ","$7,538,462 ","$7,538,462 ","$7,538,462 ",
Zach Parise,LW,"$7,538,462 ","$7,538,462 ","$7,538,462 ","$7,538,462 ","$7,538,462 ",
Mikko Koivu,C,"$6,750,000 ","$6,750,000 ","$6,750,000 ","$6,750,000 ",UFA,
Thomas Vanek,LW,"$6,500,000 ","$6,500,000 ","$6,500,000 ",UFA,-,
Jason Pominville,RW,"$5,600,000 ","$5,600,000 ","$5,600,000 ","$5,600,000 ","$5,600,000 ",
Niklas Backstrom,G,"$3,416,667 ","$3,416,667 ",UFA,-,-,
Kyle Brodziak,C,"$2,833,333 ",UFA,-,-,-,
Jared Spurgeon,D,"$2,666,667 ","$2,666,667 ",UFA,-,-,
Nino Niederreiter,RW,"$2,666,667 ","$2,666,667 ","$2,666,667 ",RFA,-,
Matt Cooke,LW,"$2,500,000 ","$2,500,000 ",UFA,-,-,
Keith Ballard,D,"$1,500,000 ",UFA,-,-,-,
Darcy Kuemper,G,"$1,250,000 ","$1,250,000 ",RFA,-,-,
Marco Scandella,D,"$1,025,000 ","$4,000,000 ","$4,000,000 ","$4,000,000 ","$4,000,000 ",
Justin Fontaine,LW,"$1,000,000 ","$1,000,000 ",UFA,-,-,
Jason Zucker,LW,"$900,250 ","$900,250 ",RFA,-,-,
Charlie Coyle,C,"$900,000 ","$3,200,000 ","$3,200,000 ","$3,200,000 ","$3,200,000 ",
Mikael Granlund,C,"$900,000 ",RFA,-,-,-,
Erik Haula,C,"$900,000 ",RFA,-,-,-,
Jonas Brodin,D,"$894,167 ","$4,166,666 ","$4,166,666 ","$4,166,666 ","$4,166,666 ",
Ryan Carter,C,"$725,000 ",UFA,-,-,-,
Nate Prosser,D,"$700,000 ",UFA,-,-,-,
Mathew Dumba,D,"$629,762 ","$894,167 ",RFA,-,-,
Stu Bickel,D,"$422,580 ",RFA,-,-,-,
Devan Dubnyk,G,"$378,494 ",UFA,-,-,-,
Jordan Schroeder,C,"$316,129 ","$264,516 ",RFA,-,-,
John Curry,G,"$309,139 ",UFA,-,-,-,
Stephane Veilleux,LW,"$230,577 ",UFA,-,-,-,
Josh Harding,G,"$600,268 ",-,-,-,-,2014 Dead Money
