PLAYER,POS.,AGE,EXP.,CONTRACT TERMS,AVG. SALARY,EXPIRES
P.K. Subban,D,25,5,"8 yr$72,000,000","$9,000,000 ",2022
Carey Price,G,27,7,"6 yr$39,000,000","$6,500,000 ",2018
Tomas Plekanec,C,32,10,"6 yr$30,000,000","$5,000,000 ",2016
Max Pacioretty,LW,26,6,"6 yr$27,000,000","$4,500,000 ",2019
Brendan Gallagher,RW,22,2,"6 yr$22,500,000","$3,750,000 ",2021
Andrei Markov,D,36,13,"3 yr$17,250,000","$5,750,000 ",2017
Alexei Emelin,D,28,3,"4 yr$16,400,000","$4,100,000 ",2018
Pierre-Alexandre Parenteau,RW,31,6,"4 yr$16,000,000","$4,000,000 ",2016
David Desharnais,C,28,5,"4 yr$14,000,000","$3,500,000 ",2017
Lars Eller,C,25,5,"4 yr$14,000,000","$3,500,000 ",2018
Brandon Prust,LW,30,7,"4 yr$10,000,000","$2,500,000 ",2016
Sergei Gonchar,D,40,19,"2 yr$10,000,000","$5,000,000 ",2015
Alex Galchenyuk,C,21,2,"3 yr$9,952,500","$3,317,500 ",2015
Tom Gilbert,D,32,8,"2 yr$5,600,000","$2,800,000 ",2016
Nathan Beaulieu,D,22,2,"3 yr$4,102,500","$1,367,500 ",2015
Jarred Tinordi,D,,,"3 yr$3,337,500","$1,112,500 ",2015
Christian Thomas,RW,22,2,"3 yr$3,180,000","$1,060,000 ",2015
Jiri Sekac,LW,22,,"2 yr$2,885,000","$1,442,500 ",2016
Brendan Gallagher,RW,22,2,"3 yr$2,880,000","$960,000 ",-
Michael Bournival,LW,22,1,"3 yr$2,880,000","$960,000 ",2015
Jacob De La Rose,C,19,,"3 yr$2,775,000","$925,000 ",2017
Dale Weise,RW,26,4,"2 yr$2,050,000","$1,025,000 ",2016
Mike Weaver,D,36,12,"1 yr$1,750,000","$1,750,000 ",2015
Greg Pateryn,D,24,1,"2 yr$1,125,000","$562,500 ",2016
Dustin Tokarski,G,25,3,"2 yr$1,125,000","$562,500 ",2016
Manny Malhotra,C,34,15,"1 yr$850,000","$850,000 ",2015
Dustin Tokarski,G,25,3,"1 yr$575,000","$575,000 ",2014
