PLAYER,POS.,2014,2015,2016,2017,2018,
P.K. Subban,D,"$9,000,000 ","$9,000,000 ","$9,000,000 ","$9,000,000 ","$9,000,000 ",
Carey Price,G,"$6,500,000 ","$6,500,000 ","$6,500,000 ","$6,500,000 ",UFA,
Andrei Markov,D,"$5,750,000 ","$5,750,000 ","$5,750,000 ",UFA,-,
Tomas Plekanec,C,"$5,000,000 ","$5,000,000 ",UFA,-,-,
Max Pacioretty,LW,"$4,500,000 ","$4,500,000 ","$4,500,000 ","$4,500,000 ","$4,500,000 ",
Alexei Emelin,D,"$4,100,000 ","$4,100,000 ","$4,100,000 ","$4,100,000 ",UFA,
Pierre-Alexandre Parenteau,RW,"$4,000,000 ","$4,000,000 ",UFA,-,-,
Sergei Gonchar,D,"$3,759,139 ",UFA,-,-,-,
Lars Eller,C,"$3,500,000 ","$3,500,000 ","$3,500,000 ","$3,500,000 ",UFA,
David Desharnais,C,"$3,500,000 ","$3,500,000 ","$3,500,000 ",UFA,-,
Tom Gilbert,D,"$2,800,000 ","$2,800,000 ",UFA,-,-,
Brandon Prust,LW,"$2,500,000 ","$2,500,000 ",UFA,-,-,
Mike Weaver,D,"$1,750,000 ",UFA,-,-,-,
Dale Weise,RW,"$1,025,000 ","$1,025,000 ",UFA,-,-,
Nathan Beaulieu,D,"$925,000 ",RFA,-,-,-,
Alex Galchenyuk,C,"$925,000 ",RFA,-,-,-,
Jiri Sekac,LW,"$925,000 ","$925,000 ",RFA,-,-,
Manny Malhotra,C,"$850,000 ",UFA,-,-,-,
Brendan Gallagher,RW,"$685,000 ","$3,750,000 ","$3,750,000 ","$3,750,000 ","$3,750,000 ",
Michael Bournival,LW,"$628,064 ",RFA,-,-,-,
Dustin Tokarski,G,"$562,500 ","$562,500 ",RFA,-,-,
Greg Pateryn,D,"$562,500 ","$166,330 ",RFA,-,-,
Christian Thomas,RW,"$391,128 ",RFA,-,-,-,
Jacob De La Rose,C,"$338,172 ","$925,000 ","$925,000 ",RFA,-,
Bryan Allen,D,"$809,000 ",-,-,-,-,2014 Dead Money
Rene Bourque,RW,"$591,397 ",-,-,-,-,2014 Dead Money
Travis Moen,LW,"$338,172 ",-,-,-,-,2014 Dead Money
