PLAYER,POS.,AGE,EXP.,CONTRACT TERMS,AVG. SALARY,EXPIRES
Shea Weber,D,29,9,"14 yr$110,000,000","$7,857,143 ",2026
Pekka Rinne,G,32,8,"7 yr$49,000,000","$7,000,000 ",2019
James Neal,LW,27,6,"6 yr$30,000,000","$5,000,000 ",2018
Roman Josi,D,24,3,"7 yr$28,000,000","$4,000,000 ",2020
Paul Gaustad,C,33,10,"4 yr$13,000,000","$3,250,000 ",2016
Ryan Ellis,D,24,3,"5 yr$12,500,000","$2,500,000 ",2019
Eric Nystrom,LW,32,8,"4 yr$10,000,000","$2,500,000 ",2017
Seth Jones,D,20,1,"3 yr$9,952,500","$3,317,500 ",2016
Mike Fisher,C,34,14,"2 yr$8,400,000","$4,200,000 ",2015
Matt Cullen,C,38,16,"2 yr$7,000,000","$3,500,000 ",2015
Colin Wilson,C,25,5,"3 yr$6,000,000","$2,000,000 ",2015
Filip Forsberg,C,20,2,"3 yr$4,660,000","$1,553,333 ",2016
Craig Smith,C,25,3,"2 yr$4,000,000","$2,000,000 ",2015
Cody Franson,D,27,5,"1 yr$3,300,000","$3,300,000 ",2015
Calle Jarnkrok,C,23,1,"3 yr$2,970,000","$990,000 ",2015
Mattias Ekholm,D,24,3,"2 yr$2,075,000","$1,037,500 ",2016
Victor Bartley,D,27,2,"3 yr$2,000,000","$666,667 ",2016
Gabriel Bourque,LW,24,3,"2 yr$1,550,000","$775,000 ",2015
Mike Santorelli,C,29,6,"1 yr$1,500,000","$1,500,000 ",2015
Carter Hutton,G,29,2,"2 yr$1,450,000","$725,000 ",2016
Mike Ribeiro,C,35,14,"1 yr$1,050,000","$1,050,000 ",2015
Anton Volchenkov,D,32,11,"1 yr$1,000,000","$1,000,000 ",2015
Anthony Bitetto,D,,,"1 yr$605,000","$605,000 ",2015
Taylor Beck,LW,23,2,"1 yr$550,000","$550,000 ",2015
