PLAYER,POS.,2014,2015,2016,2017,2018,
Shea Weber,D,"$7,857,143 ","$7,857,143 ","$7,857,143 ","$7,857,143 ","$7,857,143 ",
Pekka Rinne,G,"$7,000,000 ","$7,000,000 ","$7,000,000 ","$7,000,000 ","$7,000,000 ",
James Neal,LW,"$5,000,000 ","$5,000,000 ","$5,000,000 ","$5,000,000 ",UFA,
Mike Fisher,C,"$4,200,000 ",UFA,-,-,-,
Roman Josi,D,"$4,000,000 ","$4,000,000 ","$4,000,000 ","$4,000,000 ","$4,000,000 ",
Matt Cullen,C,"$3,500,000 ",UFA,-,-,-,
Paul Gaustad,C,"$3,250,000 ","$3,250,000 ",UFA,-,-,
Ryan Ellis,D,"$2,500,000 ","$2,500,000 ","$2,500,000 ","$2,500,000 ","$2,500,000 ",
Eric Nystrom,LW,"$2,500,000 ","$2,500,000 ","$2,500,000 ",UFA,-,
Craig Smith,C,"$2,000,000 ",RFA,-,-,-,
Colin Wilson,C,"$2,000,000 ",RFA,-,-,-,
Mike Ribeiro,C,"$1,050,000 ",UFA,-,-,-,
Mattias Ekholm,D,"$1,037,500 ","$1,037,500 ",RFA,-,-,
Anton Volchenkov,D,"$1,000,000 ",UFA,-,-,-,
Cody Franson,D,"$993,549 ",UFA,-,-,-,
Seth Jones,D,"$925,000 ","$925,000 ",RFA,-,-,
Filip Forsberg,C,"$894,167 ","$894,167 ",RFA,-,-,
Gabriel Bourque,LW,"$775,000 ",RFA,-,-,-,
Carter Hutton,G,"$725,000 ","$725,000 ",UFA,-,-,
Calle Jarnkrok,C,"$715,000 ",RFA,-,-,-,
Victor Bartley,D,"$666,667 ","$666,667 ",UFA,-,-,
Taylor Beck,LW,"$550,000 ",RFA,-,-,-,
Mike Santorelli,C,"$451,612 ",UFA,-,-,-,
Olli Jokinen,C,"$1,747,311 ",-,-,-,-,2014 Dead Money
Hal Gill,D,"$666,667 ",-,-,-,-,2014 Dead Money
Derek Roy,C,"$440,860 ",-,-,-,-,2014 Dead Money
