PLAYER,POS.,2014,2015,2016,2017,2018,
Travis Zajac,C,"$5,750,000 ","$5,750,000 ","$5,750,000 ","$5,750,000 ","$5,750,000 ",
Patrick Elias,C,"$5,500,000 ","$5,500,000 ",UFA,-,-,
Michael Cammalleri,LW,"$5,000,000 ","$5,000,000 ","$5,000,000 ","$5,000,000 ","$5,000,000 ",
Ryane Clowe,LW,"$4,850,000 ","$4,850,000 ","$4,850,000 ","$4,850,000 ",UFA,
Adam Henrique,C,"$4,000,000 ","$4,000,000 ","$4,000,000 ","$4,000,000 ","$4,000,000 ",
Cory Schneider,G,"$4,000,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ",
Tuomo Ruutu,LW,"$3,800,000 ","$3,800,000 ",UFA,-,-,
Jaromir Jagr,RW,"$3,500,000 ",UFA,-,-,-,
Michael Ryder,RW,"$3,500,000 ",UFA,-,-,-,
Bryce Salvador,D,"$3,166,667 ",UFA,-,-,-,
Dainius Zubrus,LW,"$3,100,000 ","$3,100,000 ",UFA,-,-,
Andy Greene,D,"$3,000,000 ","$5,000,000 ","$5,000,000 ","$5,000,000 ","$5,000,000 ",
Marek Zidlicky,D,"$3,000,000 ",UFA,-,-,-,
Martin Havlat,LW,"$1,500,000 ",UFA,-,-,-,
Eric Gelinas,D,"$900,000 ",RFA,-,-,-,
Adam Larsson,D,"$900,000 ",RFA,-,-,-,
Stephen Gionta,C,"$850,000 ","$850,000 ",UFA,-,-,
Jon Merrill,D,"$840,000 ","$840,000 ",RFA,-,-,
Jacob Josefson,C,"$800,000 ","$800,000 ",RFA,-,-,
Peter Harrold,D,"$615,053 ",UFA,-,-,-,
Damon Severson,D,"$605,833 ","$605,833 ","$605,833 ",RFA,-,
Jordin Tootoo,RW,"$550,000 ",UFA,-,-,-,
Steve Bernier,RW,"$516,129 ",UFA,-,-,-,
Keith Kinkaid,G,"$441,935 ",RFA,-,-,-,
Scott Gomez,C,"$390,322 ",UFA,-,-,-,
Mark Fraser,D,"$292,741 ",UFA,-,-,-,
Damien Brunner,RW,"$806,451 ",-,-,-,-,2014 Dead Money
Trent Hunter,RW,"$666,667 ",-,-,-,-,2014 Dead Money
Trent Hunter,RW,"$666,667 ",-,-,-,-,2014 Dead Money
Ilya Kovalchuk,LW,"$250,000 ","$250,000 ","$250,000 ","$250,000 ","$250,000 ",2014 Dead Money
