PLAYER,POS.,AGE,EXP.,CONTRACT TERMS,AVG. SALARY,EXPIRES
John Tavares,C,24,5,"6 yr$33,000,000","$5,500,000 ",2018
Travis Hamonic,D,24,4,"7 yr$27,000,000","$3,857,143 ",2020
Mikhail Grabovski,C,31,8,"4 yr$20,000,000","$5,000,000 ",2018
Jaroslav Halak,G,29,8,"4 yr$18,000,000","$4,500,000 ",2018
Nikolai Kulemin,LW,28,6,"4 yr$16,750,000","$4,187,500 ",2018
Josh Bailey,LW,25,6,"5 yr$16,500,000","$3,300,000 ",2018
Michael Grabner,RW,27,5,"5 yr$15,000,000","$3,000,000 ",2016
Kyle Okposo,RW,26,7,"5 yr$14,000,000","$2,800,000 ",2016
Frans Nielsen,C,30,8,"4 yr$11,000,000","$2,750,000 ",2016
Cal Clutterbuck,RW,27,7,"4 yr$11,000,000","$2,750,000 ",2017
Johnny Boychuk,D,31,7,"3 yr$10,100,000","$3,366,667 ",2015
Lubomir Visnovsky,D,38,13,"2 yr$9,500,000","$4,750,000 ",2015
Brock Nelson,C,23,1,"3 yr$8,745,000","$2,915,000 ",2015
Calvin de Haan,D,23,2,"3 yr$5,900,000","$1,966,667 ",2017
Ryan Strome,C,21,1,"3 yr$5,417,500","$1,805,833 ",2016
Nick Leddy,D,23,4,"2 yr$5,400,000","$2,700,000 ",2015
Matt Martin,LW,25,5,"4 yr$4,000,000","$1,000,000 ",2016
Chad Johnson,G,28,4,"2 yr$2,600,000","$1,300,000 ",2016
Brian Strait,D,27,4,"3 yr$2,325,000","$775,000 ",2016
Casey Cizikas,C,23,3,"2 yr$2,000,000","$1,000,000 ",2016
Thomas Hickey,D,26,2,"2 yr$1,350,000","$675,000 ",2015
Colin McDonald,RW,30,4,"2 yr$1,275,000","$637,500 ",2015
Anders Lee,C,24,2,"1 yr$850,500","$850,500 ",2015
Matt Donovan,D,24,2,"1 yr$826,875","$826,875 ",2015
Eric Boulton,LW,38,13,"1 yr$775,000","$775,000 ",2015
