PLAYER,POS.,AGE,EXP.,CONTRACT TERMS,AVG. SALARY,EXPIRES
Rick Nash,LW,30,11,"8 yr$62,400,000","$7,800,000 ",2018
Henrik Lundqvist,G,32,9,"7 yr$59,500,000","$8,500,000 ",2021
Marc Staal,D,28,7,"6 yr$34,200,000","$5,700,000 ",2021
Dan Girardi,D,30,8,"6 yr$33,000,000","$5,500,000 ",2020
Ryan McDonagh,D,25,4,"6 yr$28,200,000","$4,700,000 ",2019
Derick Brassard,C,27,7,"5 yr$25,000,000","$5,000,000 ",2019
Martin St. Louis,RW,39,15,"4 yr$22,500,000","$5,625,000 ",2015
Marc Staal,D,28,7,"5 yr$19,875,000","$3,975,000 ",2015
Kevin Klein,D,30,9,"5 yr$14,500,000","$2,900,000 ",2018
Dan Boyle,D,38,15,"2 yr$9,000,000","$4,500,000 ",2016
Kevin Hayes,RW,22,,"2 yr$7,680,000","$3,840,000 ",2016
Derek Stepan,C,24,4,"2 yr$6,150,000","$3,075,000 ",2015
Chris Kreider,LW,23,2,"2 yr$4,950,000","$2,475,000 ",2016
Carl Hagelin,LW,26,3,"2 yr$4,500,000","$2,250,000 ",2015
Tanner Glass,LW,31,7,"3 yr$4,350,000","$1,450,000 ",2017
Mats Zuccarello-Aasen,LW,27,4,"1 yr$3,500,000","$3,500,000 ",2015
Dominic Moore,C,34,9,"2 yr$3,000,000","$1,500,000 ",2016
J.T. Miller,C,21,2,"3 yr$2,775,000","$925,000 ",2015
Jesper Fast,RW,23,1,"3 yr$2,415,000","$805,000 ",2015
Mackenzie Skapski,G,20,,"3 yr$2,400,000","$800,000 ",2017
Cameron Talbot,G,27,1,"1 yr$1,450,000","$1,450,000 ",2016
Cameron Talbot,G,27,1,"2 yr$1,125,000","$562,500 ",-
Lee Stempniak,RW,32,9,"1 yr$900,000","$900,000 ",2015
John Moore,D,24,4,"1 yr$850,850","$850,850 ",2015
Matt Hunwick,D,29,7,"1 yr$600,000","$600,000 ",2015
