PLAYER,POS.,2014,2015,2016,2017,2018,
Henrik Lundqvist,G,"$8,500,000 ","$8,500,000 ","$8,500,000 ","$8,500,000 ","$8,500,000 ",
Rick Nash,LW,"$7,800,000 ","$7,800,000 ","$7,800,000 ","$7,800,000 ",UFA,
Martin St. Louis,RW,"$5,625,000 ",UFA,-,-,-,
Dan Girardi,D,"$5,500,000 ","$5,500,000 ","$5,500,000 ","$5,500,000 ","$5,500,000 ",
Derick Brassard,C,"$5,000,000 ","$5,000,000 ","$5,000,000 ","$5,000,000 ","$5,000,000 ",
Ryan McDonagh,D,"$4,700,000 ","$4,700,000 ","$4,700,000 ","$4,700,000 ","$4,700,000 ",
Dan Boyle,D,"$4,500,000 ","$4,500,000 ",UFA,-,-,
Marc Staal,D,"$3,975,000 ",UFA,"$5,700,000 ","$5,700,000 ","$5,700,000 ",
Mats Zuccarello-Aasen,LW,"$3,500,000 ",UFA,-,-,-,
Derek Stepan,C,"$3,075,000 ",RFA,-,-,-,
Kevin Klein,D,"$2,900,000 ","$2,900,000 ","$2,900,000 ","$2,900,000 ",UFA,
Chris Kreider,LW,"$2,475,000 ","$2,475,000 ",RFA,-,-,
Carl Hagelin,LW,"$2,250,000 ",RFA,-,-,-,
Dominic Moore,C,"$1,500,000 ","$1,500,000 ",UFA,-,-,
Tanner Glass,LW,"$1,450,000 ","$1,450,000 ","$1,450,000 ",UFA,-,
Lee Stempniak,RW,"$900,000 ",UFA,-,-,-,
Kevin Hayes,RW,"$880,645 ","$900,000 ",RFA,-,-,
John Moore,D,"$850,850 ",RFA,-,-,-,
Jesper Fast,RW,"$783,870 ",RFA,-,-,-,
J.T. Miller,C,"$682,643 ",RFA,-,-,-,
Matt Hunwick,D,"$600,000 ",UFA,-,-,-,
Cameron Talbot,G,"$562,500 ",-,-,-,-,
Mackenzie Skapski,G,"$235,376 ","$663,333 ","$663,333 ",RFA,-,
Ryan Malone,LW,-,-,-,-,-,2014 Dead Money
