PLAYER,POS.,2014,2015,2016,2017,2018
Claude Giroux,C,"$8,275,000 ","$8,275,000 ","$8,275,000 ","$8,275,000 ","$8,275,000 "
Mark Streit,D,"$5,250,000 ","$5,250,000 ","$5,250,000 ",UFA,-
Andrew MacDonald,D,"$5,000,000 ","$5,000,000 ","$5,000,000 ","$5,000,000 ","$5,000,000 "
Chris Pronger,D,"$4,941,429 ","$4,941,429 ","$4,941,429 ",UFA,-
R.J. Umberger,C,"$4,600,000 ","$4,600,000 ","$4,600,000 ",UFA,-
Braydon Coburn,D,"$4,500,000 ","$4,500,000 ",UFA,-,-
Vincent Lecavalier,C,"$4,500,000 ","$4,500,000 ","$4,500,000 ","$4,500,000 ",UFA
Jakub Voracek,RW,"$4,250,000 ","$4,250,000 ",UFA,-,-
Steve Mason,G,"$4,100,000 ","$4,100,000 ","$4,100,000 ",UFA,-
Wayne Simmonds,RW,"$3,975,000 ","$3,975,000 ","$3,975,000 ","$3,975,000 ","$3,975,000 "
Matt Read,RW,"$3,625,000 ","$3,625,000 ","$3,625,000 ","$3,625,000 ",UFA
Luke Schenn,D,"$3,600,000 ","$3,600,000 ",UFA,-,-
Nicklas Grossman,D,"$3,500,000 ","$3,500,000 ",UFA,-,-
Brayden Schenn,C,"$2,500,000 ","$2,500,000 ",RFA,-,-
Kimmo Timonen,D,"$2,000,000 ",UFA,-,-,-
Sean Couturier,C,"$1,750,000 ","$1,750,000 ",RFA,-,-
Michael Del Zotto,D,"$1,300,000 ",UFA,-,-,-
Nick Schultz,D,"$1,250,000 ",UFA,-,-,-
Michael Raffl,LW,"$1,100,000 ","$1,100,000 ",UFA,-,-
Ray Emery,G,"$1,000,000 ",UFA,-,-,-
Zac Rinaldo,C,"$750,000 ","$850,000 ","$850,000 ",-,-
Pierre-Edouard Bellemare,LW,"$600,000 ",RFA,-,-,-
Chris Vandevelde,C,"$553,000 ",UFA,-,-,-
Carlo Colaiacovo,D,"$551,075 ",UFA,-,-,-
Ryan White,C,"$513,172 ",UFA,-,-,-
Anthony Stolarz,G,"$261,389 ","$784,167 ",RFA,-,-
