PLAYER,POS.,AGE,EXP.,CONTRACT TERMS,AVG. SALARY,EXPIRES
Sidney Crosby,C,27,9,"12 yr$104,400,000","$8,700,000 ",2025
Evgeni Malkin,C,28,8,"8 yr$76,000,000","$9,500,000 ",2022
Kris Letang,D,27,8,"8 yr$58,000,000","$7,250,000 ",2022
Marc-Andre Fleury,G,30,10,"7 yr$35,000,000","$5,000,000 ",-
Paul Martin,D,33,10,"5 yr$25,000,000","$5,000,000 ",2015
Marc-Andre Fleury,G,30,10,"4 yr$23,000,000","$5,750,000 ",2019
Patric Hornqvist,RW,28,6,"5 yr$21,250,000","$4,250,000 ",2018
David Perron,LW,26,7,"4 yr$15,250,000","$3,812,500 ",2016
Pascal Dupuis,RW,35,13,"4 yr$15,000,000","$3,750,000 ",2017
Rob Scuderi,D,36,10,"4 yr$13,500,000","$3,375,000 ",2017
Chris Kunitz,LW,35,10,"3 yr$11,550,000","$3,850,000 ",2017
Brandon Sutter,C,26,6,"2 yr$6,600,000","$3,300,000 ",2016
Nick Spaling,C,26,5,"2 yr$4,400,000","$2,200,000 ",2016
Christian Ehrhoff,D,32,10,"1 yr$4,000,000","$4,000,000 ",2015
Derrick Pouliot,D,21,,"3 yr$3,864,500","$1,288,167 ",2017
Olli Maatta,D,20,1,"3 yr$2,775,000","$925,000 ",2016
Beau Bennett,RW,23,2,"3 yr$2,700,000","$900,000 ",2015
Maxim Lapierre,C,29,9,"2 yr$2,200,000","$1,100,000 ",2015
Simon Despres,D,23,3,"2 yr$1,800,000","$900,000 ",2016
Bryan Rust,RW,-978,,"2 yr$1,800,000","$900,000 ",2016
Craig Adams,RW,37,13,"2 yr$1,400,000","$700,000 ",2015
Robert Bortuzzo,D,25,3,"2 yr$1,200,000","$600,000 ",2015
Thomas Greiss,G,29,5,"1 yr$1,000,000","$1,000,000 ",2015
Steve Downie,RW,27,7,"1 yr$1,000,000","$1,000,000 ",2015
Blake Comeau,LW,29,8,"1 yr$700,000","$700,000 ",2015
Zach Sill,C,26,1,"1 yr$550,000","$550,000 ",2015
