PLAYER,POS.,2014,2015,2016,2017,2018,
Evgeni Malkin,C,"$9,500,000 ","$9,500,000 ","$9,500,000 ","$9,500,000 ","$9,500,000 ",
Sidney Crosby,C,"$8,700,000 ","$8,700,000 ","$8,700,000 ","$8,700,000 ","$8,700,000 ",
Kris Letang,D,"$7,250,000 ","$7,250,000 ","$7,250,000 ","$7,250,000 ","$7,250,000 ",
Marc-Andre Fleury,G,"$5,000,000 ","$5,750,000 ","$5,750,000 ","$5,750,000 ","$5,750,000 ",
Paul Martin,D,"$5,000,000 ",UFA,-,-,-,
Patric Hornqvist,RW,"$4,250,000 ","$4,250,000 ","$4,250,000 ","$4,250,000 ",UFA,
Christian Ehrhoff,D,"$4,000,000 ",UFA,-,-,-,
Chris Kunitz,LW,"$3,850,000 ","$3,850,000 ","$3,850,000 ",UFA,-,
Pascal Dupuis,RW,"$3,750,000 ","$3,750,000 ","$3,750,000 ",UFA,-,
Rob Scuderi,D,"$3,375,000 ","$3,375,000 ","$3,375,000 ",UFA,-,
Brandon Sutter,C,"$3,300,000 ","$3,300,000 ",UFA,-,-,
Nick Spaling,C,"$2,200,000 ","$2,200,000 ",UFA,-,-,
David Perron,LW,"$2,049,731 ","$3,812,500 ",UFA,-,-,
Thomas Greiss,G,"$1,000,000 ",UFA,-,-,-,
Steve Downie,RW,"$1,000,000 ",UFA,-,-,-,
Simon Despres,D,"$900,000 ","$900,000 ",UFA,-,-,
Beau Bennett,RW,"$900,000 ",RFA,-,-,-,
Olli Maatta,D,"$894,167 ","$894,167 ",RFA,-,-,
Craig Adams,RW,"$700,000 ",UFA,-,-,-,
Blake Comeau,LW,"$700,000 ",UFA,-,-,-,
Robert Bortuzzo,D,"$600,000 ",RFA,-,-,-,
Zach Sill,C,"$547,043 ",UFA,-,-,-,
Maxim Lapierre,C,"$443,548 ",UFA,-,-,-,
Derrick Pouliot,D,"$440,949 ","$863,333 ","$863,333 ",RFA,-,
Bryan Rust,RW,"$382,379 ","$652,500 ",RFA,-,-,
Marcel Goc,C,"$716,129 ",-,-,-,-,2014 Dead Money
Mark Arcobello,C,"$264,516 ",-,-,-,-,2014 Dead Money
Robert Klinkhammer,LW,"$94,000 ",-,-,-,-,2014 Dead Money
