PLAYER,POS.,AGE,EXP.,CONTRACT TERMS,AVG. SALARY,EXPIRES
Logan Couture,C,25,5,"5 yr$30,000,000","$6,000,000 ",2019
Joe Pavelski,C,30,8,"5 yr$30,000,000","$6,000,000 ",2019
Brent Burns,D,29,10,"5 yr$28,800,000","$5,760,000 ",2017
Marc-Edouard Vlasic,D,27,8,"5 yr$21,250,000","$4,250,000 ",2018
Joe Thornton,C,35,16,"3 yr$20,250,000","$6,750,000 ",2017
Patrick Marleau,LW,35,16,"3 yr$20,000,000","$6,666,667 ",2017
Justin Braun,D,28,4,"5 yr$19,000,000","$3,800,000 ",2020
Antti Niemi,G,31,6,"4 yr$15,200,000","$3,800,000 ",2015
Tommy Wingels,C,26,4,"3 yr$7,425,000","$2,475,000 ",2017
Raffi Torres,LW,33,,"3 yr$6,000,000","$2,000,000 ",2016
Tyler Kennedy,C,28,7,"2 yr$4,700,000","$2,350,000 ",2015
Tomas Hertl,C,21,1,"3 yr$4,327,500","$1,442,500 ",2016
Mirco Mueller,D,19,,"3 yr$4,234,500","$1,411,500 ",2017
Justin Braun,D,28,4,"3 yr$3,750,000","$1,250,000 ",-
Alex Stalock,G,27,3,"2 yr$3,200,000","$1,600,000 ",2016
Matt Nieto,LW,22,1,"3 yr$2,775,000","$925,000 ",2016
Mike Brown,RW,29,7,"2 yr$2,400,000","$1,200,000 ",2016
Chris Tierney,C,20,,"3 yr$2,227,500","$742,500 ",2016
Matt Irwin,D,27,2,"2 yr$2,000,000","$1,000,000 ",2015
Barclay Goodrow,RW,21,,"3 yr$1,881,000","$627,000 ",2017
Andrew Desjardins,C,28,4,"2 yr$1,500,000","$750,000 ",2015
Daniil Tarasov,RW,23,,"2 yr$1,360,000","$680,000 ",2015
James Sheppard,LW,26,5,"1 yr$1,300,000","$1,300,000 ",2015
Brenden Dillon,D,24,3,"1 yr$1,250,000","$1,250,000 ",2015
Melker Karlsson,C,20,,"1 yr$1,017,500","$1,017,500 ",2015
Scott Hannan,D,36,15,"1 yr$1,000,000","$1,000,000 ",2015
John Scott,LW,32,6,"1 yr$700,000","$700,000 ",2015
Tye McGinn,LW,24,2,"1 yr$600,000","$600,000 ",2015
