PLAYER,POS.,2014,2015,2016,2017,2018,
Joe Thornton,C,"$6,750,000 ","$6,750,000 ","$6,750,000 ",UFA,-,
Patrick Marleau,LW,"$6,666,666 ","$6,666,666 ","$6,666,666 ",UFA,-,
Logan Couture,C,"$6,000,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ",
Joe Pavelski,C,"$6,000,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ","$6,000,000 ",
Brent Burns,D,"$5,760,000 ","$5,760,000 ","$5,760,000 ",UFA,-,
Marc-Edouard Vlasic,D,"$4,250,000 ","$4,250,000 ","$4,250,000 ","$4,250,000 ",UFA,
Antti Niemi,G,"$3,800,000 ",UFA,-,-,-,
Tommy Wingels,C,"$2,475,000 ","$2,475,000 ","$2,475,000 ",UFA,-,
Tyler Kennedy,C,"$2,350,000 ",UFA,-,-,-,
Raffi Torres,LW,"$2,000,000 ","$2,000,000 ",UFA,-,-,
Alex Stalock,G,"$1,600,000 ","$1,600,000 ",UFA,-,-,
James Sheppard,LW,"$1,300,000 ",UFA,-,-,-,
Justin Braun,D,"$1,250,000 ","$3,800,000 ","$3,800,000 ","$3,800,000 ","$3,800,000 ",
Mike Brown,RW,"$1,200,000 ","$1,200,000 ",UFA,-,-,
Scott Hannan,D,"$1,000,000 ",UFA,-,-,-,
Matt Irwin,D,"$1,000,000 ",UFA,-,-,-,
Brenden Dillon,D,"$954,301 ",RFA,-,-,-,
Tomas Hertl,C,"$925,000 ","$925,000 ",RFA,-,-,
Mirco Mueller,D,"$812,441 ","$894,166 ","$894,167 ",RFA,-,
Matt Nieto,LW,"$759,167 ","$759,167 ",RFA,-,-,
Andrew Desjardins,C,"$750,000 ",UFA,-,-,-,
Chris Tierney,C,"$742,500 ","$742,500 ",RFA,-,-,
John Scott,LW,"$700,000 ",UFA,-,-,-,
Tye McGinn,LW,"$600,000 ",RFA,-,-,-,
Melker Karlsson,C,"$550,000 ",RFA,-,-,-,
Matt Tennyson,D,"$440,188 ","$625,000 ",RFA,-,-,
Daniil Tarasov,RW,"$313,978 ",RFA,-,-,-,
Barclay Goodrow,RW,"$286,380 ","$626,667 ","$626,667 ",RFA,-,
Jason Demers,D,"$804,301 ",-,-,-,-,2014 Dead Money
Evgeni Nabokov,G,"$483,333 ",-,-,-,-,2014 Dead Money
