PLAYER,POS.,2014,2015,2016,2017,2018,
Paul Stastny,C,"$7,000,000 ","$7,000,000 ","$7,000,000 ","$7,000,000 ",UFA,
Alex Pietrangelo,D,"$6,500,000 ","$6,500,000 ","$6,500,000 ","$6,500,000 ","$6,500,000 ",
Alexander Steen,LW,"$5,800,000 ","$5,800,000 ","$5,800,000 ",-,UFA,
Jay Bouwmeester,D,"$5,400,000 ","$5,400,000 ","$5,400,000 ","$5,400,000 ","$5,400,000 ",
David Backes,C,"$4,500,000 ","$4,500,000 ",UFA,-,-,
Kevin Shattenkirk,D,"$4,250,000 ","$4,250,000 ","$4,250,000 ",UFA,-,
T.J. Oshie,RW,"$4,175,000 ","$4,175,000 ","$4,175,000 ",UFA,-,
Patrik Berglund,C,"$3,700,000 ","$3,700,000 ","$3,700,000 ",UFA,-,
Barret Jackman,D,"$3,166,667 ",UFA,-,-,-,
Carl Gunnarsson,D,"$2,950,000 ","$2,950,000 ",UFA,-,-,
Jori Lehtera,C,"$2,750,000 ","$2,750,000 ",UFA,-,-,
Steve Ott,C,"$2,600,000 ","$2,600,000 ",UFA,-,-,
Brian Elliott,G,"$2,500,000 ","$2,500,000 ","$2,500,000 ",UFA,-,
Jaden Schwartz,LW,"$2,350,000 ","$2,350,000 ",RFA,-,-,
Ryan Reaves,RW,"$1,125,000 ","$1,125,000 ","$1,125,000 ","$1,125,000 ",UFA,
Vladimir Tarasenko,RW,"$900,000 ",RFA,-,-,-,
Ian Cole,D,"$825,000 ",RFA,-,-,-,
Jake Allen,G,"$800,000 ",RFA,-,-,-,
Joakin Lindstrom,C,"$700,000 ",UFA,-,-,-,
Chris Porter,LW,"$675,000 ",UFA,-,-,-,
Dmitrij Jaskin,LW,"$564,838 ","$772,500 ",RFA,-,-,
Chris Butler,D,"$517,204 ",UFA,-,-,-,
Marcel Goc,C,"$483,870 ",UFA,-,-,-,
Jordan Leopold,D,"$857,526 ",-,-,-,-,2014 Dead Money
Maxim Lapierre,C,"$656,451 ",-,-,-,-,2014 Dead Money
Martin Brodeur,G,"$493,010 ",-,-,-,-,2014 Dead Money
