PLAYER,POS.,AGE,EXP.,CONTRACT TERMS,AVG. SALARY,EXPIRES
Steven Stamkos,C,25,6,"5 yr$37,500,000","$7,500,000 ",2016
Ryan Callahan,RW,29,8,"6 yr$34,800,000","$5,800,000 ",2020
Matt Carle,D,30,9,"6 yr$33,000,000","$5,500,000 ",2018
Jason Garrison,D,30,6,"6 yr$27,600,000","$4,600,000 ",2018
Mattias Ohlund,D,38,13,"7 yr$25,250,000","$3,607,143 ",2016
Valtteri Filppula,C,30,9,"5 yr$25,000,000","$5,000,000 ",2018
Anton Stralman,D,28,7,"5 yr$22,500,000","$4,500,000 ",2019
Victor Hedman,D,24,5,"5 yr$20,000,000","$4,000,000 ",2017
Ben Bishop,G,28,5,"2 yr$11,900,000","$5,950,000 ",2017
Tyler Johnson,C,24,2,"3 yr$10,000,000","$3,333,333 ",2017
Ondrej Palat,LW,23,2,"3 yr$10,000,000","$3,333,333 ",2017
Jonathan Drouin,LW,19,,"3 yr$9,860,000","$3,286,667 ",2017
Brian Boyle,C,30,7,"3 yr$6,000,000","$2,000,000 ",2017
Alexander Killorn,C,25,2,"2 yr$5,100,000","$2,550,000 ",2016
Ben Bishop,G,28,5,"2 yr$4,600,000","$2,300,000 ",-
Andrei Vasilevski,G,20,,"3 yr$4,425,000","$1,475,000 ",2017
Nikita Nesterov,D,21,,"3 yr$3,051,000","$1,017,000 ",2016
Cedric Paquette,C,21,1,"3 yr$3,000,000","$1,000,000 ",2016
Radko Gudas,D,24,2,"3 yr$2,975,000","$991,667 ",2016
Nikita Kucherov,RW,21,1,"3 yr$2,958,498","$986,166 ",2016
Luke Witkowski,D,24,,"2 yr$1,904,000","$952,000 ",2015
J.T. Brown,RW,24,2,"2 yr$1,900,000","$950,000 ",2016
Brenden Morrow,LW,36,14,"1 yr$1,550,000","$1,550,000 ",2015
Mark Barberio,D,24,2,"1 yr$874,125","$874,125 ",2015
Andrej Sustr,D,24,2,"1 yr$874,125","$874,125 ",2015
Brett Connolly,RW,22,3,"1 yr$850,500","$850,500 ",2015
