PLAYER,POS.,2014,2015,2016,2017,2018,
Steven Stamkos,C,"$7,500,000 ","$7,500,000 ",UFA,-,-,
Ryan Callahan,RW,"$5,800,000 ","$5,800,000 ","$5,800,000 ","$5,800,000 ","$5,800,000 ",
Matt Carle,D,"$5,500,000 ","$5,500,000 ","$5,500,000 ","$5,500,000 ",UFA,
Valtteri Filppula,C,"$5,000,000 ","$5,000,000 ","$5,000,000 ","$5,000,000 ",UFA,
Jason Garrison,D,"$4,600,000 ","$4,600,000 ","$4,600,000 ","$4,600,000 ",UFA,
Anton Stralman,D,"$4,500,000 ","$4,500,000 ","$4,500,000 ","$4,500,000 ","$4,500,000 ",
Victor Hedman,D,"$4,000,000 ","$4,000,000 ","$4,000,000 ",UFA,-,
Mattias Ohlund,D,"$3,607,143 ","$3,607,143 ",UFA,-,-,
Tyler Johnson,C,"$3,333,333 ","$3,333,333 ","$3,333,333 ",RFA,-,
Ondrej Palat,LW,"$3,333,333 ","$3,333,333 ","$3,333,333 ",RFA,-,
Alexander Killorn,C,"$2,550,000 ","$2,550,000 ",RFA,-,-,
Ben Bishop,G,"$2,300,000 ","$5,950,000 ","$5,950,000 ",-,-,
Brian Boyle,C,"$2,000,000 ","$2,000,000 ","$2,000,000 ",UFA,-,
Brenden Morrow,LW,"$1,550,000 ",UFA,-,-,-,
Radko Gudas,D,"$991,667 ","$991,667 ",RFA,-,-,
J.T. Brown,RW,"$950,000 ","$950,000 ",RFA,-,-,
Jonathan Drouin,LW,"$894,167 ","$894,167 ","$894,167 ",RFA,-,
Andrej Sustr,D,"$874,125 ",RFA,-,-,-,
Mark Barberio,D,"$874,125 ",RFA,-,-,-,
Brett Connolly,RW,"$850,500 ",RFA,-,-,-,
Nikita Nesterov,D,"$742,500 ","$742,500 ",RFA,-,-,
Nikita Kucherov,RW,"$707,840 ","$711,667 ",RFA,-,-,
Cedric Paquette,C,"$561,827 ","$633,333 ",RFA,-,-,
Andrei Vasilevski,G,"$402,822 ","$925,000 ","$925,000 ",RFA,-,
Luke Witkowski,D,"$303,629 ",RFA,-,-,-,
Eric Brewer,D,"$1,794,111 ",-,-,-,-,2014 Dead Money
Sam Gagner,C,"$1,600,000 ","$1,600,000 ",-,-,-,2014 Dead Money
Vaclav Prospal,LW,"$1,166,667 ",-,-,-,-,2014 Dead Money
Evgeni Nabokov,G,"$483,333 ",-,-,-,-,2014 Dead Money
