PLAYER,POS.,AGE,EXP.,CONTRACT TERMS,AVG. SALARY,EXPIRES
Philip Kessel,RW,27,8,"8 yr$64,000,000","$8,000,000 ",2022
Dion Phaneuf,D,29,9,"7 yr$49,000,000","$7,000,000 ",2021
David Clarkson,RW,30,8,"7 yr$36,750,000","$5,250,000 ",2020
Joffrey Lupul,LW,31,10,"5 yr$26,250,000","$5,250,000 ",2018
James Van Riemsdyk,LW,25,5,"6 yr$25,500,000","$4,250,000 ",2018
Tyler Bozak,LW,28,5,"5 yr$21,000,000","$4,200,000 ",2018
Jake Gardiner,D,24,3,"5 yr$20,250,000","$4,050,000 ",2019
Roman Polak,D,28,8,"5 yr$13,750,000","$2,750,000 ",2016
Leo Komarov,C,28,1,"4 yr$11,800,000","$2,950,000 ",2018
Stephane Robidas,D,37,14,"3 yr$9,000,000","$3,000,000 ",2017
Jonathan Bernier,G,26,6,"2 yr$5,800,000","$2,900,000 ",2015
Nazem Kadri,C,24,5,"2 yr$5,800,000","$2,900,000 ",2015
Morgan Rielly,D,20,1,"3 yr$5,510,000","$1,836,667 ",2016
James Reimer,G,26,4,"2 yr$4,600,000","$2,300,000 ",2016
Petter Granberg,D,22,,"3 yr$2,970,000","$990,000 ",2015
Olli Jokinen,C,36,0,"1 yr$2,500,000","$2,500,000 ",2015
Sam Carrick,C,,,"3 yr$1,895,000","$631,667 ",2015
Andrew MacWilliam,D,24,,"2 yr$1,750,000","$875,000 ",2015
Korbinian Holzer,D,27,2,"2 yr$1,575,000","$787,500 ",2015
Peter Holland,C,24,3,"2 yr$1,550,000","$775,000 ",2016
Daniel Winnik,C,29,7,"1 yr$1,300,000","$1,300,000 ",2015
David Booth,LW,30,8,"1 yr$1,100,000","$1,100,000 ",2015
Richard Panik,RW,24,2,"1 yr$735,000","$735,000 ",2015
Brandon Kozun,RW,24,,"1 yr$550,000","$550,000 ",2015
Trevor Smith,C,30,4,"1 yr$550,000","$550,000 ",2015
