PLAYER,POS.,2014,2015,2016,2017,2018,
Philip Kessel,RW,"$8,000,000 ","$8,000,000 ","$8,000,000 ","$8,000,000 ","$8,000,000 ",
Dion Phaneuf,D,"$7,000,000 ","$7,000,000 ","$7,000,000 ","$7,000,000 ","$7,000,000 ",
Joffrey Lupul,LW,"$5,250,000 ","$5,250,000 ","$5,250,000 ","$5,250,000 ",UFA,
David Clarkson,RW,"$5,250,000 ","$5,250,000 ","$5,250,000 ","$5,250,000 ","$5,250,000 ",
James Van Riemsdyk,LW,"$4,250,000 ","$4,250,000 ","$4,250,000 ","$4,250,000 ",UFA,
Tyler Bozak,LW,"$4,200,000 ","$4,200,000 ","$4,200,000 ","$4,200,000 ",UFA,
Jake Gardiner,D,"$4,050,000 ","$4,050,000 ","$4,050,000 ","$4,050,000 ","$4,050,000 ",
Stephane Robidas,D,"$3,000,000 ","$3,000,000 ","$3,000,000 ",UFA,-,
Leo Komarov,C,"$2,950,000 ","$2,950,000 ","$2,950,000 ","$2,950,000 ",UFA,
Nazem Kadri,C,"$2,900,000 ",RFA,-,-,-,
Jonathan Bernier,G,"$2,900,000 ",RFA,-,-,-,
Roman Polak,D,"$2,750,000 ","$2,750,000 ",UFA,-,-,
James Reimer,G,"$2,300,000 ","$2,300,000 ",UFA,-,-,
Daniel Winnik,C,"$1,300,000 ",UFA,-,-,-,
David Booth,LW,"$1,100,000 ",UFA,-,-,-,
Morgan Rielly,D,"$894,167 ","$894,167 ",RFA,-,-,
Peter Holland,C,"$775,000 ","$775,000 ",RFA,-,-,
Olli Jokinen,C,"$752,688 ",UFA,-,-,-,
Richard Panik,RW,"$731,048 ",RFA,-,-,-,
Korbinian Holzer,D,"$592,741 ",UFA,-,-,-,
Trevor Smith,C,"$455,376 ",UFA,-,-,-,
Cody Franson,D,"$2,306,451 ",-,-,-,-,2014 Dead Money
Mike Santorelli,C,"$1,048,387 ",-,-,-,-,2014 Dead Money
Tim Gleason,D,"$833,333 ","$1,833,333 ","$1,333,333 ","$1,333,333 ",-,2014 Dead Money
Carter Ashton,RW,"$219,483 ",-,-,-,-,2014 Dead Money
Carl Gunnarsson,D,"$200,000 ","$200,000 ",-,-,-,2014 Dead Money
