PLAYER,POS.,AGE,EXP.,CONTRACT TERMS,AVG. SALARY,EXPIRES
Alexander Edler,D,28,8,"6 yr$30,000,000","$5,000,000 ",2019
Henrik Sedin,C,34,13,"4 yr$28,000,000","$7,000,000 ",2018
Daniel Sedin,LW,34,13,"4 yr$28,000,000","$7,000,000 ",2018
Dan Hamhuis,D,32,10,"6 yr$27,000,000","$4,500,000 ",2016
Kevin Bieksa,D,33,9,"5 yr$23,000,000","$4,600,000 ",2016
Alexandre Burrows,RW,33,9,"4 yr$18,000,000","$4,500,000 ",2017
Ryan Miller,G,34,11,"3 yr$18,000,000","$6,000,000 ",2017
Christopher Higgins,LW,31,10,"4 yr$10,000,000","$2,500,000 ",2017
Jannik Hansen,RW,28,7,"4 yr$10,000,000","$2,500,000 ",2018
Radim Vrbata,RW,33,12,"2 yr$10,000,000","$5,000,000 ",2016
Luca Sbisa,D,25,6,"4 yr$8,700,000","$2,175,000 ",2015
Nick Bonino,C,26,5,"3 yr$5,700,000","$1,900,000 ",2017
Bo Horvat,C,19,,"3 yr$5,325,000","$1,775,000 ",2017
Derek Dorsett,RW,28,6,"3 yr$4,900,000","$1,633,333 ",2015
Shawn Matthias,C,27,7,"2 yr$3,500,000","$1,750,000 ",2015
Zack Kassian,RW,24,3,"2 yr$3,500,000","$1,750,000 ",2016
Brad Richardson,C,30,9,"2 yr$2,300,000","$1,150,000 ",2015
Eddie Lack,G,27,1,"2 yr$2,300,000","$1,150,000 ",2016
Chris Tanev,D,25,4,"1 yr$2,000,000","$2,000,000 ",2015
Frank Corrado,D,21,2,"3 yr$1,908,333","$636,111 ",2015
Ronalds Kenins,LW,23,,"2 yr$1,360,000","$680,000 ",2015
Ryan Stanton,D,25,2,"2 yr$1,100,000","$550,000 ",2015
Yannick Weber,D,26,6,"1 yr$850,000","$850,000 ",2015
Linden Vey,RW,23,1,"1 yr$735,000","$735,000 ",2015
Brandon McMillan,C,24,,"1 yr$625,000","$625,000 ",2015
Bobby Sanguinetti,D,26,,"1 yr$600,000","$600,000 ",2015
Alex Biega,D,26,,"1 yr$600,000","$600,000 ",2015
