PLAYER,POS.,2014,2015,2016,2017,2018,
Daniel Sedin,LW,"$7,000,000 ","$7,000,000 ","$7,000,000 ","$7,000,000 ",UFA,
Henrik Sedin,C,"$7,000,000 ","$7,000,000 ","$7,000,000 ","$7,000,000 ",UFA,
Ryan Miller,G,"$6,000,000 ","$6,000,000 ","$6,000,000 ",UFA,-,
Alexander Edler,D,"$5,000,000 ","$5,000,000 ","$5,000,000 ","$5,000,000 ","$5,000,000 ",
Radim Vrbata,RW,"$5,000,000 ","$5,000,000 ",UFA,-,-,
Kevin Bieksa,D,"$4,600,000 ","$4,600,000 ",UFA,-,-,
Alexandre Burrows,RW,"$4,500,000 ","$4,500,000 ","$4,500,000 ",UFA,-,
Dan Hamhuis,D,"$4,500,000 ","$4,500,000 ",UFA,-,-,
Jannik Hansen,RW,"$2,500,000 ","$2,500,000 ","$2,500,000 ","$2,500,000 ",UFA,
Christopher Higgins,LW,"$2,500,000 ","$2,500,000 ","$2,500,000 ",UFA,-,
Luca Sbisa,D,"$2,175,000 ",RFA,-,-,-,
Chris Tanev,D,"$2,000,000 ",RFA,-,-,-,
Nick Bonino,C,"$1,900,000 ","$1,900,000 ","$1,900,000 ",UFA,-,
Shawn Matthias,C,"$1,750,000 ",UFA,-,-,-,
Zack Kassian,RW,"$1,750,000 ","$1,750,000 ",RFA,-,-,
Derek Dorsett,RW,"$1,633,333 ",UFA,-,-,-,
Brad Richardson,C,"$1,150,000 ",UFA,-,-,-,
Eddie Lack,G,"$1,150,000 ","$1,150,000 ",UFA,-,-,
Yannick Weber,D,"$850,000 ",RFA,-,-,-,
Bo Horvat,C,"$773,893 ","$894,167 ","$894,167 ",RFA,-,
Linden Vey,RW,"$735,000 ",RFA,-,-,-,
Ryan Stanton,D,"$550,000 ",RFA,-,-,-,
Frank Corrado,D,"$406,786 ",RFA,-,-,-,
Ronalds Kenins,LW,"$266,881 ",RFA,-,-,-,
Brandon McMillan,C,"$198,252 ",RFA,-,-,-,
Roberto Luongo,G,"$800,000 ","$800,000 ","$800,000 ","$800,000 ","$800,000 ",2014 Dead Money
Jacob Markstrom,G,"$275,000 ",-,-,-,-,2014 Dead Money
