PLAYER,POS.,AGE,EXP.,CONTRACT TERMS,AVG. SALARY,EXPIRES
Alex Ovechkin,RW,29,9,"13 yr$124,000,000","$9,538,462 ",2021
Nicklas Backstrom,C,1817,7,"10 yr$67,000,000","$6,700,000 ",2020
Matt Niskanen,D,28,7,"7 yr$40,250,000","$5,750,000 ",2021
Brooks Orpik,D,34,11,"5 yr$27,500,000","$5,500,000 ",2019
Brooks Laich,C,31,10,"6 yr$27,000,000","$4,500,000 ",2017
John Carlson,D,25,5,"6 yr$23,800,000","$3,966,667 ",2018
Mike Green,D,29,9,"3 yr$18,250,000","$6,083,333 ",2015
Joel Ward,RW,34,7,"4 yr$12,000,000","$3,000,000 ",2015
Karl Alzner,D,26,6,"4 yr$11,200,000","$2,800,000 ",2017
Troy Brouwer,RW,29,8,"3 yr$11,000,000","$3,666,667 ",2016
Evgeny Kuznetsov,C,22,1,"2 yr$5,830,000","$2,915,000 ",2015
Thomas Wilson,RW,20,1,"3 yr$4,159,998","$1,386,666 ",2016
Marcus Johannson,C,24,4,"2 yr$4,000,000","$2,000,000 ",2015
Jason Chimera,LW,35,13,"2 yr$4,000,000","$2,000,000 ",2016
Dmitry Orlov,D,23,3,"2 yr$4,000,000","$2,000,000 ",2016
John Erskine,D,34,13,"2 yr$3,925,000","$1,962,500 ",2015
Braden Holtby,G,25,4,"2 yr$3,700,000","$1,850,000 ",2015
Eric Fehr,RW,29,9,"2 yr$3,000,000","$1,500,000 ",2015
Jay Beagle,RW,29,6,"3 yr$2,700,000","$900,000 ",2015
Andre Burakovsky,LW,20,,"3 yr$2,682,500","$894,167 ",2016
Justin Peters,G,28,5,"2 yr$1,900,000","$950,000 ",2016
Jack Hillen,D,29,7,"2 yr$1,400,000","$700,000 ",2015
Aaron Volpatti,C,29,4,"2 yr$1,150,000","$575,000 ",2015
Michael Latta,C,23,1,"2 yr$1,150,000","$575,000 ",2016
