PLAYER,POS.,2014,2015,2016,2017,2018,X
Alex Ovechkin,RW,"$9,538,462 ","$9,538,462 ","$9,538,462 ","$9,538,462 ","$9,538,462 ",
Nicklas Backstrom,C,"$6,700,000 ","$6,700,000 ","$6,700,000 ","$6,700,000 ","$6,700,000 ",
Mike Green,D,"$6,083,333 ",UFA,-,-,-,
Matt Niskanen,D,"$5,750,000 ","$5,750,000 ","$5,750,000 ","$5,750,000 ","$5,750,000 ",
Brooks Orpik,D,"$5,500,000 ","$5,500,000 ","$5,500,000 ","$5,500,000 ","$5,500,000 ",
Brooks Laich,C,"$4,500,000 ","$4,500,000 ","$4,500,000 ",UFA,-,
John Carlson,D,"$3,966,667 ","$3,966,667 ","$3,966,667 ","$3,966,667 ",UFA,
Troy Brouwer,RW,"$3,666,667 ","$3,666,667 ",UFA,-,-,
Joel Ward,RW,"$3,000,000 ",UFA,-,-,-,
Karl Alzner,D,"$2,800,000 ","$2,800,000 ","$2,800,000 ",UFA,-,
Marcus Johannson,C,"$2,000,000 ",RFA,-,-,-,
Jason Chimera,LW,"$2,000,000 ","$2,000,000 ",UFA,-,-,
Dmitry Orlov,D,"$2,000,000 ","$2,000,000 ",RFA,-,-,
John Erskine,D,"$1,962,500 ",UFA,-,-,-,
Braden Holtby,G,"$1,850,000 ",UFA,-,-,-,
Eric Fehr,RW,"$1,500,000 ",UFA,-,-,-,
Justin Peters,G,"$950,000 ","$950,000 ",UFA,-,-,
Evgeny Kuznetsov,C,"$900,000 ",RFA,-,-,-,
Jay Beagle,RW,"$900,000 ",UFA,-,-,-,
Thomas Wilson,RW,"$894,167 ","$894,167 ",RFA,-,-,
Andre Burakovsky,LW,"$879,743 ","$894,166 ",RFA,-,-,
Jack Hillen,D,"$700,000 ",UFA,-,-,-,
Michael Latta,C,"$575,000 ","$575,000 ",RFA,-,-,
Aaron Volpatti,C,"$575,000 ",UFA,-,-,-,
Steven Oleksy,D,"$200,940 ",RFA,-,-,-,
