PLAYER,POS.,AGE,EXP.,CONTRACT TERMS,AVG. SALARY,EXPIRES
Tyler Myers,D,25,4,"7 yr$38,500,000","$5,500,000 ",2019
Blake Wheeler,RW,28,6,"6 yr$33,600,000","$5,600,000 ",2019
Tobias Enstrom,D,30,7,"5 yr$28,750,000","$5,750,000 ",2018
Dustin Byfuglien,D,29,9,"5 yr$26,000,000","$5,200,000 ",2016
Bryan Little,C,27,7,"5 yr$23,500,000","$4,700,000 ",2018
Andrew Ladd,LW,29,9,"5 yr$22,000,000","$4,400,000 ",2016
Ondrej Pavelec,G,27,7,"5 yr$19,500,000","$3,900,000 ",2017
Drew Stafford,RW,29,7,"4 yr$16,000,000","$4,000,000 ",2015
Mark Stuart,D,30,9,"4 yr$10,500,000","$2,625,000 ",2018
Mathieu Perreault,C,27,5,"3 yr$9,000,000","$3,000,000 ",2017
Grant Clitsome,D,29,5,"3 yr$6,200,000","$2,066,667 ",2016
Jacob Trouba,D,20,1,"3 yr$5,760,000","$1,920,000 ",2016
Mark Scheifele,C,21,3,"3 yr$4,967,499","$1,655,833 ",2016
Jim Slater,C,32,9,"3 yr$4,800,000","$1,600,000 ",2015
Jay Harrison,D,32,8,"3 yr$4,500,000","$1,500,000 ",2016
Chris Thorburn,RW,31,9,"3 yr$3,600,000","$1,200,000 ",2017
Michael Frolik,RW,27,6,"1 yr$3,300,000","$3,300,000 ",2015
Adam Lowry,LW,21,,"3 yr$2,775,000","$925,000 ",2016
Paul Postma,D,26,4,"2 yr$1,425,000","$712,500 ",2015
Michael Hutchinson,G,24,1,"2 yr$1,150,000","$575,000 ",2016
Anthony Peluso,RW,25,2,"2 yr$1,125,000","$562,500 ",2015
T.J. Galiardi,LW,26,6,"1 yr$750,000","$750,000 ",2015
Matt Halischuk,RW,26,6,"1 yr$725,000","$725,000 ",2015
Adam Pardy,D,30,6,"1 yr$700,000","$700,000 ",2015
Carl Klingberg,LW,24,,"1 yr$650,000","$650,000 ",2015
Ben Chiarot,D,23,1,"1 yr$600,000","$600,000 ",2015
