PLAYER,POS.,2014,2015,2016,2017,2018,
Tobias Enstrom,D,"$5,750,000 ","$5,750,000 ","$5,750,000 ","$5,750,000 ",UFA,
Blake Wheeler,RW,"$5,600,000 ","$5,600,000 ","$5,600,000 ","$5,600,000 ",-,
Dustin Byfuglien,D,"$5,200,000 ","$5,200,000 ",UFA,-,-,
Bryan Little,C,"$4,700,000 ","$4,700,000 ","$4,700,000 ","$4,700,000 ",UFA,
Andrew Ladd,LW,"$4,400,000 ","$4,400,000 ",UFA,-,-,
Ondrej Pavelec,G,"$3,900,000 ","$3,900,000 ","$3,900,000 ",UFA,-,
Michael Frolik,RW,"$3,300,000 ",UFA,-,-,-,
Mathieu Perreault,C,"$3,000,000 ","$3,000,000 ","$3,000,000 ",UFA,-,
Mark Stuart,D,"$2,625,000 ","$2,625,000 ","$2,625,000 ","$2,625,000 ",UFA,
Grant Clitsome,D,"$2,066,667 ","$2,066,667 ",UFA,-,-,
Tyler Myers,D,"$1,774,193 ","$5,500,000 ","$5,500,000 ","$5,500,000 ","$5,500,000 ",
Jim Slater,C,"$1,600,000 ",UFA,-,-,-,
Drew Stafford,RW,"$1,290,322 ",UFA,-,-,-,
Chris Thorburn,RW,"$1,200,000 ","$1,200,000 ","$1,200,000 ",UFA,-,
Jacob Trouba,D,"$894,167 ","$894,167 ",RFA,-,-,
Mark Scheifele,C,"$863,333 ","$863,333 ",RFA,-,-,
Adam Lowry,LW,"$828,333 ","$828,333 ",RFA,-,-,
Matt Halischuk,RW,"$725,000 ",UFA,-,-,-,
Paul Postma,D,"$712,500 ",RFA,-,-,-,
T.J. Galiardi,LW,"$700,000 ",UFA,-,-,-,
Adam Pardy,D,"$700,000 ",UFA,-,-,-,
Jay Harrison,D,"$649,193 ","$1,500,000 ",UFA,-,-,
Michael Hutchinson,G,"$575,000 ","$575,000 ",RFA,-,-,
Anthony Peluso,RW,"$562,500 ",RFA,-,-,-,
Ben Chiarot,D,"$422,580 ",RFA,-,-,-,
Evander Kane,LW,"$3,556,451 ",-,-,-,-,2014 Dead Money
Zach Bogosian,D,"$3,483,870 ",-,-,-,-,2014 Dead Money
Peter Budaj,G,"$475,000 ",-,-,-,-,2014 Dead Money
