"TEAM","SEASON","AVGSALARYSEASON"
"chicago",2014,3574267.76923077
"nyrangers",2014,3167334
"pittsburgh",2014,3088487.19230769
"toronto",2014,3065912.71428571
"boston",2014,3037830.375
"washington",2014,2988060.91666667
"florida",2014,2923848.32
"philadelphia",2014,2916137.55555556
"stlouis",2014,2897536.26086957
"montreal",2014,2894519.23076923
"tampabay",2014,2876194.57692308
"dallas",2014,2857385.06896552
"columbus",2014,2831654.73333333
"ottawa",2014,2742797.64285714
"newjersey",2014,2739714.28571429
"losangeles",2014,2726119.51851852
"vancouver",2014,2718377.76
"carolina",2014,2712430.5
"detroit",2014,2698140.75
"minnesota",2014,2641138.24137931
"nashville",2014,2620527.95652174
"winnipeg",2014,2538700
"calgary",2014,2527986.125
"nyislanders",2014,2519547.4
"anaheim",2014,2516109
"buffalo",2014,2460747.64
"edmonton",2014,2457827.39285714
"sanjose",2014,2405273.82142857
"colorado",2014,2382438.5483871
"arizona",2014,2358463.36
