"TEAM","SEASON","TOTALSALARYCOMMITTED"
"anaheim",2014,61960529
"anaheim",2015,49378334
"anaheim",2016,32725000
"anaheim",2017,31125000
"anaheim",2018,16875000
"anaheim",2019,16875000
"anaheim",2020,16875000
"anaheim",2021,8625000
"arizona",2014,57903437
"arizona",2015,38213444
"arizona",2016,19827778
"arizona",2017,13111111
"arizona",2018,13111111
"boston",2014,70461825
"boston",2015,62418810
"boston",2016,48368810
"boston",2017,3.6e+07
"boston",2018,2.8e+07
"boston",2019,20750000
"boston",2020,20750000
"boston",2021,6500000
"buffalo",2014,58531436
"buffalo",2015,40816191
"buffalo",2016,34817857
"buffalo",2017,28142857
"buffalo",2018,14392857
"calgary",2014,56456827
"calgary",2015,50736667
"calgary",2016,28491667
"calgary",2017,12425000
"calgary",2018,9300000
"calgary",2019,4650000
"carolina",2014,65144594
"carolina",2015,52852499
"carolina",2016,26391666
"carolina",2017,23558333
"carolina",2018,16558333
"carolina",2019,10833333
"carolina",2020,6e+06
"carolina",2021,6e+06
"carolina",2022,6e+06
"chicago",2014,82260805
"chicago",2015,86882629
"chicago",2016,73707629
"chicago",2017,62913462
"chicago",2018,62913462
"chicago",2019,37813462
"chicago",2020,31813462
"chicago",2021,26538462
"chicago",2022,26538462
"colorado",2014,74502219
"colorado",2015,65969465
"colorado",2016,39221428
"colorado",2017,23438095
"colorado",2018,17471429
"colorado",2019,5571429
"colorado",2020,5571429
"columbus",2014,74994130
"columbus",2015,67676309
"columbus",2016,68582143
"columbus",2017,56457143
"columbus",2018,47600000
"columbus",2019,16650000
"columbus",2020,11350000
"dallas",2014,75739889
"dallas",2015,58275000
"dallas",2016,4.3e+07
"dallas",2017,28650000
"dallas",2018,20750000
"detroit",2014,62811309
"detroit",2015,55837045
"detroit",2016,42507878
"detroit",2017,29229545
"detroit",2018,24329545
"detroit",2019,14287878
"detroit",2020,6083333
"edmonton",2014,64394753
"edmonton",2015,47536667
"edmonton",2016,30725000
"edmonton",2017,25625000
"edmonton",2018,2.2e+07
"edmonton",2019,1.2e+07
"edmonton",2020,6e+06
"florida",2014,65278867
"florida",2015,52384541
"florida",2016,28791667
"florida",2017,22233333
"florida",2018,18233333
"florida",2019,9433333
"florida",2020,4100000
"losangeles",2014,66002510
"losangeles",2015,63277727
"losangeles",2016,53439394
"losangeles",2017,51489394
"losangeles",2018,48989394
"losangeles",2019,29822727
"losangeles",2020,25822727
"losangeles",2021,16947727
"losangeles",2022,5800000
"minnesota",2014,64410791
"minnesota",2015,72219190
"minnesota",2016,59326923
"minnesota",2017,50160256
"minnesota",2018,43410256
"minnesota",2019,26443591
"minnesota",2020,19243591
"minnesota",2021,15076924
"minnesota",2022,15076924
"minnesota",2023,15076924
"minnesota",2024,15076924
"montreal",2014,67462572
"montreal",2015,62816330
"montreal",2016,45275000
"montreal",2017,35100000
"montreal",2018,2.1e+07
"montreal",2019,12750000
"montreal",2020,12750000
"montreal",2021,9e+06
"nashville",2014,56445476
"nashville",2015,36355477
"nashville",2016,28857143
"nashville",2017,26357143
"nashville",2018,21357143
"nashville",2019,11857143
"nashville",2020,7857143
"nashville",2021,7857143
"nashville",2022,7857143
"nashville",2023,7857143
"nashville",2024,7857143
"nashville",2025,7857143
"newjersey",2014,70758465
"newjersey",2015,57345833
"newjersey",2016,42455833
"newjersey",2017,41850000
"newjersey",2018,3.7e+07
"newjersey",2019,16750000
"newjersey",2020,11750000
"newjersey",2021,6e+06
"nyislanders",2014,59232160
"nyislanders",2015,44549642
"nyislanders",2016,31061311
"nyislanders",2017,26344643
"nyislanders",2018,3857143
"nyislanders",2019,3857143
"nyrangers",2014,72783384
"nyrangers",2015,45888333
"nyrangers",2016,47913333
"nyrangers",2017,45800000
"nyrangers",2018,35100000
"nyrangers",2019,19700000
"nyrangers",2020,14200000
"ottawa",2014,67597504
"ottawa",2015,67156667
"ottawa",2016,55612500
"ottawa",2017,44400000
"ottawa",2018,30300000
"ottawa",2019,11900000
"ottawa",2020,7250000
"ottawa",2021,7250000
"philadelphia",2014,76245065
"philadelphia",2015,67950596
"philadelphia",2016,45966429
"philadelphia",2017,25375000
"philadelphia",2018,17250000
"philadelphia",2019,13275000
"philadelphia",2020,8275000
"philadelphia",2021,8275000
"pittsburgh",2014,76807462
"pittsburgh",2015,64797500
"pittsburgh",2016,53038333
"pittsburgh",2017,41200000
"pittsburgh",2018,36950000
"pittsburgh",2019,25450000
"pittsburgh",2020,25450000
"pittsburgh",2021,25450000
"pittsburgh",2022,8700000
"pittsburgh",2023,8700000
"pittsburgh",2024,8700000
"sanjose",2014,63773255
"sanjose",2015,54874166
"sanjose",2016,47022500
"sanjose",2017,23850000
"sanjose",2018,19600000
"sanjose",2019,3800000
"stlouis",2014,66239566
"stlouis",2015,56372500
"stlouis",2016,40450000
"stlouis",2017,20025000
"stlouis",2018,11900000
"stlouis",2019,6500000
"tampabay",2014,71071122
"tampabay",2015,71072143
"tampabay",2016,51785833
"tampabay",2017,25400000
"tampabay",2018,10300000
"tampabay",2019,5800000
"toronto",2014,66008674
"toronto",2015,52702500
"toronto",2016,45283333
"toronto",2017,42283333
"toronto",2018,24300000
"toronto",2019,20250000
"toronto",2020,1.5e+07
"toronto",2021,8e+06
"vancouver",2014,66964145
"vancouver",2015,55094167
"vancouver",2016,38094167
"vancouver",2017,22300000
"vancouver",2018,5800000
"washington",2014,69392479
"washington",2015,49735129
"washington",2016,38755129
"washington",2017,31455129
"washington",2018,27488462
"washington",2019,21988462
"washington",2020,15288462
"winnipeg",2014,61554109
"winnipeg",2015,48602500
"winnipeg",2016,32275000
"winnipeg",2017,24175000
"winnipeg",2018,5500000
