"TEAM","POS_GROUP","SEASON","TOTALSALARYCOMMITTEDBYPOS"
"anaheim","D",2014,20575945
"anaheim","D",2015,10506667
"anaheim","D",2016,7250000
"anaheim","D",2017,7250000
"anaheim","F",2014,37804827
"anaheim","F",2015,36969167
"anaheim","F",2016,25475000
"anaheim","F",2017,23875000
"anaheim","F",2018,16875000
"anaheim","F",2019,16875000
"anaheim","F",2020,16875000
"anaheim","F",2021,8625000
"anaheim","G",2014,3579757
"anaheim","G",2015,1902500
"arizona","D",2014,18333783
"arizona","D",2015,12763333
"arizona","D",2016,5500000
"arizona","D",2017,5500000
"arizona","D",2018,5500000
"arizona","F",2014,33268579
"arizona","F",2015,19783444
"arizona","F",2016,8661111
"arizona","F",2017,1944444
"arizona","F",2018,1944444
"arizona","G",2014,6301075
"arizona","G",2015,5666667
"arizona","G",2016,5666667
"arizona","G",2017,5666667
"arizona","G",2018,5666667
"boston","D",2014,16827501
"boston","D",2015,11716667
"boston","D",2016,10916667
"boston","D",2017,8e+06
"boston","F",2014,46034324
"boston","F",2015,43702143
"boston","F",2016,30452143
"boston","F",2017,2.1e+07
"boston","F",2018,2.1e+07
"boston","F",2019,13750000
"boston","F",2020,13750000
"boston","F",2021,6500000
"boston","G",2014,7600000
"boston","G",2015,7e+06
"boston","G",2016,7e+06
"boston","G",2017,7e+06
"boston","G",2018,7e+06
"boston","G",2019,7e+06
"boston","G",2020,7e+06
"buffalo","D",2014,18376460
"buffalo","D",2015,12559524
"buffalo","D",2016,9967857
"buffalo","D",2017,9042857
"buffalo","D",2018,5142857
"buffalo","F",2014,36231320
"buffalo","F",2015,28256667
"buffalo","F",2016,24850000
"buffalo","F",2017,19100000
"buffalo","F",2018,9250000
"buffalo","G",2014,3923656
"calgary","D",2014,23646882
"calgary","D",2015,27586667
"calgary","D",2016,20966667
"calgary","D",2017,9300000
"calgary","D",2018,9300000
"calgary","D",2019,4650000
"calgary","F",2014,25559945
"calgary","F",2015,18650000
"calgary","F",2016,7525000
"calgary","F",2017,3125000
"calgary","G",2014,7250000
"calgary","G",2015,4500000
"carolina","D",2014,17490911
"carolina","D",2015,12371666
"carolina","D",2016,7666666
"carolina","D",2017,4833333
"carolina","D",2018,4833333
"carolina","D",2019,4833333
"carolina","F",2014,39103683
"carolina","F",2015,31930833
"carolina","F",2016,18725000
"carolina","F",2017,18725000
"carolina","F",2018,11725000
"carolina","F",2019,6e+06
"carolina","F",2020,6e+06
"carolina","F",2021,6e+06
"carolina","F",2022,6e+06
"carolina","G",2014,8550000
"carolina","G",2015,8550000
"chicago","D",2014,23495332
"chicago","D",2015,16363462
"chicago","D",2016,9638462
"chicago","D",2017,9638462
"chicago","D",2018,9638462
"chicago","D",2019,5538462
"chicago","D",2020,5538462
"chicago","D",2021,5538462
"chicago","D",2022,5538462
"chicago","F",2014,52019506
"chicago","F",2015,63769167
"chicago","F",2016,58069167
"chicago","F",2017,47275000
"chicago","F",2018,47275000
"chicago","F",2019,26275000
"chicago","F",2020,26275000
"chicago","F",2021,2.1e+07
"chicago","F",2022,2.1e+07
"chicago","G",2014,6745967
"chicago","G",2015,6750000
"chicago","G",2016,6e+06
"chicago","G",2017,6e+06
"chicago","G",2018,6e+06
"chicago","G",2019,6e+06
"colorado","D",2014,22888172
"colorado","D",2015,18400000
"colorado","D",2016,10500000
"colorado","D",2017,3300000
"colorado","F",2014,43641951
"colorado","F",2015,40219465
"colorado","F",2016,21371428
"colorado","F",2017,14238095
"colorado","F",2018,11571429
"colorado","F",2019,5571429
"colorado","F",2020,5571429
"colorado","G",2014,7972096
"colorado","G",2015,7350000
"colorado","G",2016,7350000
"colorado","G",2017,5900000
"colorado","G",2018,5900000
"columbus","D",2014,21471283
"columbus","D",2015,18309643
"columbus","D",2016,14357143
"columbus","D",2017,8857143
"columbus","F",2014,41267175
"columbus","F",2015,33861666
"columbus","F",2016,39375000
"columbus","F",2017,32750000
"columbus","F",2018,32750000
"columbus","F",2019,16650000
"columbus","F",2020,11350000
"columbus","G",2014,12255672
"columbus","G",2015,15505000
"columbus","G",2016,14850000
"columbus","G",2017,14850000
"columbus","G",2018,14850000
"dallas","D",2014,15032119
"dallas","D",2015,1.2e+07
"dallas","D",2016,3300000
"dallas","F",2014,53777932
"dallas","F",2015,40375000
"dallas","F",2016,33800000
"dallas","F",2017,22750000
"dallas","F",2018,20750000
"dallas","G",2014,6929838
"dallas","G",2015,5900000
"dallas","G",2016,5900000
"dallas","G",2017,5900000
"detroit","D",2014,19358064
"detroit","D",2015,18504167
"detroit","D",2016,11400000
"detroit","D",2017,9e+06
"detroit","D",2018,9e+06
"detroit","D",2019,4250000
"detroit","F",2014,36311578
"detroit","F",2015,32041211
"detroit","F",2016,25816211
"detroit","F",2017,14937878
"detroit","F",2018,10037878
"detroit","F",2019,10037878
"detroit","F",2020,6083333
"detroit","G",2014,7141667
"detroit","G",2015,5291667
"detroit","G",2016,5291667
"detroit","G",2017,5291667
"detroit","G",2018,5291667
"edmonton","D",2014,20142984
"edmonton","D",2015,12269167
"edmonton","D",2016,6875000
"edmonton","D",2017,3625000
"edmonton","F",2014,38800479
"edmonton","F",2015,32967500
"edmonton","F",2016,23850000
"edmonton","F",2017,2.2e+07
"edmonton","F",2018,2.2e+07
"edmonton","F",2019,1.2e+07
"edmonton","F",2020,6e+06
"edmonton","G",2014,5451290
"edmonton","G",2015,2300000
"florida","D",2014,23651367
"florida","D",2015,19926208
"florida","D",2016,5258334
"florida","F",2014,36044167
"florida","F",2015,26875000
"florida","F",2016,1.9e+07
"florida","F",2017,17700000
"florida","F",2018,13700000
"florida","F",2019,4100000
"florida","F",2020,4100000
"florida","G",2014,5583333
"florida","G",2015,5583333
"florida","G",2016,4533333
"florida","G",2017,4533333
"florida","G",2018,4533333
"florida","G",2019,5333333
"losangeles","D",2014,22244623
"losangeles","D",2015,31180000
"losangeles","D",2016,29666667
"losangeles","D",2017,29666667
"losangeles","D",2018,27166667
"losangeles","D",2019,8e+06
"losangeles","D",2020,4e+06
"losangeles","F",2014,37407887
"losangeles","F",2015,26297727
"losangeles","F",2016,17972727
"losangeles","F",2017,16022727
"losangeles","F",2018,16022727
"losangeles","F",2019,16022727
"losangeles","F",2020,16022727
"losangeles","F",2021,11147727
"losangeles","G",2014,6350000
"losangeles","G",2015,5800000
"losangeles","G",2016,5800000
"losangeles","G",2017,5800000
"losangeles","G",2018,5800000
"losangeles","G",2019,5800000
"losangeles","G",2020,5800000
"losangeles","G",2021,5800000
"losangeles","G",2022,5800000
"minnesota","D",2014,17295805
"minnesota","D",2015,27432628
"minnesota","D",2016,23871794
"minnesota","D",2017,23871794
"minnesota","D",2018,23871794
"minnesota","D",2019,15705129
"minnesota","D",2020,11705129
"minnesota","D",2021,7538462
"minnesota","D",2022,7538462
"minnesota","D",2023,7538462
"minnesota","D",2024,7538462
"minnesota","F",2014,41160418
"minnesota","F",2015,40119895
"minnesota","F",2016,35455129
"minnesota","F",2017,26288462
"minnesota","F",2018,19538462
"minnesota","F",2019,10738462
"minnesota","F",2020,7538462
"minnesota","F",2021,7538462
"minnesota","F",2022,7538462
"minnesota","F",2023,7538462
"minnesota","F",2024,7538462
"minnesota","G",2014,5954568
"minnesota","G",2015,4666667
"montreal","D",2014,29455639
"montreal","D",2015,21816330
"montreal","D",2016,18850000
"montreal","D",2017,13100000
"montreal","D",2018,9e+06
"montreal","D",2019,9e+06
"montreal","D",2020,9e+06
"montreal","D",2021,9e+06
"montreal","F",2014,30381933
"montreal","F",2015,33375000
"montreal","F",2016,19925000
"montreal","F",2017,15500000
"montreal","F",2018,1.2e+07
"montreal","F",2019,3750000
"montreal","F",2020,3750000
"montreal","G",2014,7625000
"montreal","G",2015,7625000
"montreal","G",2016,6500000
"montreal","G",2017,6500000
"nashville","D",2014,19646526
"nashville","D",2015,16986310
"nashville","D",2016,14357143
"nashville","D",2017,14357143
"nashville","D",2018,14357143
"nashville","D",2019,11857143
"nashville","D",2020,7857143
"nashville","D",2021,7857143
"nashville","D",2022,7857143
"nashville","D",2023,7857143
"nashville","D",2024,7857143
"nashville","D",2025,7857143
"nashville","F",2014,29073950
"nashville","F",2015,11644167
"nashville","F",2016,7500000
"nashville","F",2017,5e+06
"nashville","G",2014,7725000
"nashville","G",2015,7725000
"nashville","G",2016,7e+06
"nashville","G",2017,7e+06
"nashville","G",2018,7e+06
"newjersey","D",2014,16320294
"newjersey","D",2015,11445833
"newjersey","D",2016,10605833
"newjersey","D",2017,1e+07
"newjersey","D",2018,1e+07
"newjersey","D",2019,5e+06
"newjersey","F",2014,45996236
"newjersey","F",2015,33900000
"newjersey","F",2016,19850000
"newjersey","F",2017,19850000
"newjersey","F",2018,1.5e+07
"newjersey","F",2019,5750000
"newjersey","F",2020,5750000
"newjersey","G",2014,8441935
"newjersey","G",2015,1.2e+07
"newjersey","G",2016,1.2e+07
"newjersey","G",2017,1.2e+07
"newjersey","G",2018,1.2e+07
"newjersey","G",2019,6e+06
"newjersey","G",2020,6e+06
"newjersey","G",2021,6e+06
"nyislanders","D",2014,18917351
"nyislanders","D",2015,6598809
"nyislanders","D",2016,5823811
"nyislanders","D",2017,3857143
"nyislanders","D",2018,3857143
"nyislanders","D",2019,3857143
"nyislanders","F",2014,34514809
"nyislanders","F",2015,32150833
"nyislanders","F",2016,20737500
"nyislanders","F",2017,17987500
"nyislanders","G",2014,5800000
"nyislanders","G",2015,5800000
"nyislanders","G",2016,4500000
"nyislanders","G",2017,4500000
"nyrangers","D",2014,27000850
"nyrangers","D",2015,17600000
"nyrangers","D",2016,24500000
"nyrangers","D",2017,24500000
"nyrangers","D",2018,21600000
"nyrangers","D",2019,11200000
"nyrangers","D",2020,5700000
"nyrangers","F",2014,35922158
"nyrangers","F",2015,19125000
"nyrangers","F",2016,14250000
"nyrangers","F",2017,12800000
"nyrangers","F",2018,5e+06
"nyrangers","G",2014,9860376
"nyrangers","G",2015,9163333
"nyrangers","G",2016,9163333
"nyrangers","G",2017,8500000
"nyrangers","G",2018,8500000
"nyrangers","G",2019,8500000
"nyrangers","G",2020,8500000
"ottawa","D",2014,22500000
"ottawa","D",2015,17550000
"ottawa","D",2016,11800000
"ottawa","D",2017,8700000
"ottawa","D",2018,6500000
"ottawa","F",2014,36187827
"ottawa","F",2015,38981667
"ottawa","F",2016,33187500
"ottawa","F",2017,27300000
"ottawa","F",2018,23800000
"ottawa","F",2019,11900000
"ottawa","F",2020,7250000
"ottawa","F",2021,7250000
"ottawa","G",2014,8909677
"ottawa","G",2015,10625000
"ottawa","G",2016,10625000
"ottawa","G",2017,8400000
"philadelphia","D",2014,33142504
"philadelphia","D",2015,26791429
"philadelphia","D",2016,15191429
"philadelphia","D",2017,5e+06
"philadelphia","D",2018,5e+06
"philadelphia","D",2019,5e+06
"philadelphia","F",2014,37741172
"philadelphia","F",2015,36275000
"philadelphia","F",2016,26675000
"philadelphia","F",2017,20375000
"philadelphia","F",2018,12250000
"philadelphia","F",2019,8275000
"philadelphia","F",2020,8275000
"philadelphia","F",2021,8275000
"philadelphia","G",2014,5361389
"philadelphia","G",2015,4884167
"philadelphia","G",2016,4100000
"pittsburgh","D",2014,22460116
"pittsburgh","D",2015,13282500
"pittsburgh","D",2016,11488333
"pittsburgh","D",2017,7250000
"pittsburgh","D",2018,7250000
"pittsburgh","D",2019,7250000
"pittsburgh","D",2020,7250000
"pittsburgh","D",2021,7250000
"pittsburgh","F",2014,43347346
